o1_gr_can,152,183,146,185
o1_gr_e01,168,210,247,199
o1_gr_e02,168,213,220,220
o1_gr_e03,206,183,252,203
o1_gr_e04,179,220,208,230
o1_gr_e05,173,185,243,177
o1_gr_e06,186,227,241,216
o1_gr_e07,219,178,219,222
o1_gr_e08,230,156,225,138
o1_gr_e09,213,204,249,148
o1_gr_e10,188,227,227,203
o1_gr_e11,174,183,211,198
o1_gr_e12,189,227,214,222
o2_gr_can,195,165,181,162
o2_gr_e01,50,64,86,54
o2_gr_e02,106,16,66,66
o2_gr_e03,192,90,275,92
o2_gr_e05,59,0,60,97
o2_gr_e06,68,13,72,66
o2_gr_e07,190,207,213,23
o2_gr_e09,69,30,52,99
o2_gr_e10,103,32,73,64
o2_gr_e11,250,21,242,45
o2_gr_e24,65,49,85,32
