o1_gr_can,28,38,39,44,44,42,42,58,35,36,36,56,30,45,43,50
o1_gr_e01,20,43,46,33,46,59,63,68,42,66,84,61,51,88,52,2
o1_gr_e02,29,44,45,47,41,54,63,58,58,54,62,49,48,60,64,45
o1_gr_e03,29,54,57,9,50,73,93,24,54,65,79,26,66,67,65,33
o1_gr_e04,33,58,70,25,41,47,90,35,43,58,73,43,35,72,77,37
o1_gr_e05,18,50,56,23,41,64,81,25,49,63,86,9,47,84,81,1
o1_gr_e06,32,53,56,49,44,57,67,55,55,56,67,48,59,71,66,35
o1_gr_e07,36,62,65,0,51,70,113,0,53,68,104,12,40,58,75,31
o1_gr_e08,41,76,59,7,50,63,70,20,52,60,59,17,53,60,42,20
o1_gr_e09,42,61,51,34,50,60,63,56,45,74,92,22,53,77,34,0
o1_gr_e10,41,45,78,31,48,54,85,33,54,62,74,28,48,63,77,24
o1_gr_e11,23,46,77,0,43,62,106,0,41,71,91,11,32,67,71,25
o1_gr_e12,27,65,62,29,39,58,86,50,52,53,62,49,42,67,67,44
o2_gr_can,47,45,46,37,60,43,41,41,50,42,36,39,45,44,50,37
o2_gr_e01,0,0,0,0,27,23,39,25,46,35,34,20,5,0,0,0
o2_gr_e02,12,0,0,0,79,15,16,0,35,31,38,28,0,0,0,0
o2_gr_e03,0,39,59,0,33,120,31,0,42,154,30,0,2,77,62,0
o2_gr_e05,0,0,0,0,33,26,0,0,25,35,48,49,0,0,0,0
o2_gr_e06,0,0,0,0,48,20,10,3,40,32,36,30,0,0,0,0
o2_gr_e07,12,41,43,33,61,76,91,40,60,88,21,2,60,5,0,0
o2_gr_e09,0,0,0,0,45,24,19,11,26,26,49,50,0,0,0,0
o2_gr_e10,10,0,0,0,63,30,26,6,40,33,35,29,0,0,0,0
o2_gr_e11,19,50,21,0,71,110,0,0,40,138,1,0,4,60,44,0
o2_gr_e24,0,0,0,0,45,20,27,22,46,39,18,14,0,0,0,0
