File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1_gr_can,A,0.024,0.025,0.025,0.016,0.021,0.024,0.017,0.018,0.018
o1_gr_e01,B,0.057,0.037,0.099,0.032,0.038,0.094,0.027,0.049,0.084
o1_gr_e02,B,0.036,0.029,0.079,0.017,0.032,0.078,0.038,0.05,0.074
o1_gr_e03,B,0.03,0.051,0.104,0.029,0.031,0.081,0.023,0.028,0.058
o1_gr_e04,B,0.023,0.039,0.085,0.03,0.024,0.072,0.019,0.025,0.05
o1_gr_e05,B,0.032,0.032,0.089,0.029,0.023,0.08,0.028,0.025,0.056
o1_gr_e06,B,0.024,0.043,0.104,0.028,0.025,0.084,0.02,0.021,0.055
o1_gr_e07,B,0.056,0.04,0.085,0.046,0.044,0.098,0.027,0.063,0.111
o1_gr_e08,B,0.062,0.043,0.057,0.03,0.028,0.066,0.025,0.054,0.087
o1_gr_e09,B,0.051,0.047,0.051,0.027,0.027,0.06,0.022,0.056,0.087
o1_gr_e10,B,0.039,0.042,0.09,0.044,0.038,0.099,0.039,0.04,0.083
o1_gr_e11,B,0.032,0.056,0.133,0.018,0.076,0.156,0.025,0.073,0.144
o1_gr_e12,B,0.04,0.041,0.112,0.027,0.042,0.107,0.022,0.041,0.081
o2_gr_can,A,0.021,0.021,0.019,0.018,0.022,0.02,0.021,0.021,0.021
o2_gr_e01,D,0.088,0.126,0.199,0.03,0.084,0.186,0.184,0.117,0.162
o2_gr_e02,D,0.076,0.078,0.153,0.036,0.079,0.149,0.152,0.13,0.147
o2_gr_e03,D,0.084,0.106,0.166,0.038,0.086,0.154,0.163,0.135,0.149
o2_gr_e04,C,0.149,0.148,0.149,0.042,0.085,0.094,0.149,0.149,0.149
o2_gr_e05,C,0.161,0.161,0.16,0.04,0.097,0.12,0.12,0.161,0.161
o2_gr_e06,C,0.153,0.153,0.153,0.042,0.097,0.113,0.122,0.153,0.153
o2_gr_e07,C,0.157,0.125,0.138,0.048,0.072,0.104,0.157,0.154,0.154
o2_gr_e08,C,0.143,0.117,0.125,0.047,0.065,0.088,0.142,0.137,0.137
o2_gr_e09,C,0.153,0.133,0.131,0.051,0.063,0.098,0.152,0.147,0.148
o2_gr_e10,C,0.054,0.148,0.172,0.046,0.08,0.12,0.173,0.172,0.17
o2_gr_e11,C,0.066,0.168,0.18,0.038,0.077,0.124,0.18,0.179,0.177
o2_gr_e12,C,0.092,0.157,0.159,0.036,0.09,0.089,0.159,0.159,0.156
o3_gr_can,A,0.03,0.023,0.027,0.017,0.021,0.025,0.027,0.02,0.02
o3_gr_e01,C,0.1,0.107,0.111,0.025,0.045,0.054,0.087,0.097,0.109
o3_gr_e02,C,0.105,0.103,0.111,0.025,0.046,0.053,0.093,0.101,0.111
o3_gr_e03,C,0.095,0.104,0.114,0.025,0.044,0.052,0.1,0.098,0.109
o3_gr_e04,E,0.059,0.12,0.147,0.026,0.057,0.074,0.131,0.093,0.089
o3_gr_e05,C,0.078,0.08,0.107,0.028,0.038,0.051,0.117,0.122,0.118
o3_gr_e06,C,0.088,0.081,0.099,0.03,0.038,0.048,0.117,0.114,0.118
o3_gr_e07,E,0.06,0.106,0.134,0.024,0.051,0.077,0.106,0.095,0.1
o3_gr_e08,C,0.073,0.098,0.12,0.027,0.051,0.065,0.102,0.117,0.12
o3_gr_e09,E,0.045,0.101,0.134,0.021,0.057,0.105,0.098,0.094,0.113
o3_gr_e10,C,0.11,0.102,0.089,0.028,0.044,0.049,0.1,0.104,0.109
o3_gr_e11,C,0.104,0.092,0.09,0.029,0.043,0.048,0.096,0.095,0.099
o3_gr_e12,C,0.108,0.099,0.087,0.03,0.042,0.05,0.102,0.096,0.106
o4_gr_can,A,0.013,0.017,0.023,0.016,0.019,0.024,0.019,0.019,0.021
o4_gr_e01,B,0.038,0.038,0.05,0.011,0.029,0.053,0.027,0.049,0.067
o4_gr_e02,B,0.047,0.039,0.048,0.011,0.031,0.058,0.025,0.052,0.074
o4_gr_e03,B,0.036,0.04,0.061,0.012,0.031,0.057,0.03,0.038,0.058
o4_gr_e04,B,0.052,0.041,0.039,0.02,0.028,0.054,0.041,0.072,0.096
o4_gr_e05,B,0.048,0.043,0.04,0.012,0.027,0.048,0.039,0.067,0.091
o4_gr_e06,B,0.05,0.04,0.042,0.019,0.03,0.057,0.04,0.073,0.1
o4_gr_e07,B,0.055,0.038,0.042,0.014,0.034,0.064,0.041,0.07,0.095
o4_gr_e08,B,0.023,0.034,0.049,0.01,0.028,0.052,0.033,0.046,0.062
o4_gr_e09,B,0.049,0.031,0.044,0.013,0.035,0.065,0.035,0.065,0.09
o4_gr_e10,B,0.03,0.065,0.099,0.02,0.034,0.059,0.053,0.03,0.046
o4_gr_e11,B,0.058,0.043,0.089,0.018,0.034,0.066,0.038,0.043,0.058
o4_gr_e12,B,0.034,0.058,0.094,0.021,0.033,0.059,0.059,0.033,0.043
o5_gr_can,A,0.019,0.018,0.012,0.017,0.021,0.019,0.024,0.019,0.019
o5_gr_e01,C,0.087,0.099,0.109,0.026,0.043,0.075,0.08,0.093,0.11
o5_gr_e02,C,0.091,0.104,0.109,0.025,0.045,0.075,0.084,0.092,0.107
o5_gr_e03,C,0.088,0.102,0.115,0.024,0.041,0.076,0.108,0.104,0.121
o5_gr_e04,C,0.061,0.117,0.13,0.023,0.051,0.08,0.069,0.12,0.128
o5_gr_e05,C,0.048,0.105,0.121,0.023,0.049,0.084,0.085,0.117,0.115
o5_gr_e06,C,0.056,0.113,0.125,0.024,0.052,0.08,0.087,0.117,0.113
o5_gr_e07,E,0.125,0.088,0.088,0.028,0.056,0.123,0.08,0.171,0.172
o5_gr_e08,C,0.071,0.084,0.109,0.023,0.043,0.078,0.088,0.102,0.109
o5_gr_e09,C,0.075,0.086,0.123,0.02,0.052,0.085,0.071,0.115,0.137
o5_gr_e10,C,0.058,0.109,0.126,0.021,0.05,0.084,0.065,0.106,0.126
o5_gr_e11,C,0.06,0.112,0.124,0.023,0.053,0.087,0.061,0.097,0.12
o5_gr_e12,E,0.113,0.094,0.116,0.027,0.056,0.101,0.048,0.115,0.141
