o1_gr_can,Z,A,0,A,0,A,0,A,0
o1_gr_e01,A,A,1,A,1,A,1,A,1
o1_gr_e02,A,A,1,A,1,A,1,A,1
o1_gr_e03,A,A,1,A,1,A,1,A,1
o1_gr_e04,A,A,1,A,1,A,1,A,1
o1_gr_e05,A,A,1,A,1,A,1,A,1
o1_gr_e06,A,A,1,A,1,A,1,A,1
o1_gr_e07,A,D,0,A,1,A,1,A,1
o1_gr_e08,A,A,1,A,1,A,1,A,1
o1_gr_e09,A,A,1,A,1,A,1,A,1
o1_gr_e10,A,A,1,A,1,A,1,A,1
o1_gr_e11,A,D,0,A,1,A,1,A,1
o1_gr_e12,A,A,1,A,1,A,1,A,1
o2_gr_can,Z,A,0,A,0,A,0,A,0
o2_gr_e01,E,"['D', 'E']",0,E,1,E,1,E,1
o2_gr_e02,E,"['D', 'E']",0,E,1,E,1,E,1
o2_gr_e03,E,"['D', 'E']",0,E,1,E,1,E,1
o2_gr_e04,D,D,1,D,1,D,1,D,1
o2_gr_e05,D,D,1,D,1,D,1,D,1
o2_gr_e06,D,D,1,D,1,D,1,D,1
o2_gr_e07,D,D,1,D,1,D,1,D,1
o2_gr_e08,D,D,1,D,1,D,1,D,1
o2_gr_e09,D,D,1,D,1,D,1,D,1
o2_gr_e10,D,"['D', 'E']",0,D,1,D,1,D,1
o2_gr_e11,D,"['D', 'E']",0,D,1,D,1,D,1
o2_gr_e12,D,"['D', 'E']",0,D,1,D,1,D,1
o3_gr_can,Z,A,0,A,0,A,0,A,0
o3_gr_e01,D,D,1,D,1,D,1,D,1
o3_gr_e02,D,D,1,D,1,D,1,D,1
o3_gr_e03,D,D,1,D,1,D,1,D,1
o3_gr_e04,E,D,0,E,1,E,1,D,0
o3_gr_e05,D,D,1,D,1,D,1,D,1
o3_gr_e06,D,D,1,D,1,D,1,D,1
o3_gr_e07,E,D,0,D,0,E,1,D,0
o3_gr_e08,D,D,1,D,1,D,1,D,1
o3_gr_e09,E,D,0,D,0,E,1,D,0
o3_gr_e10,D,D,1,D,1,D,1,D,1
o3_gr_e11,D,D,1,D,1,D,1,D,1
o3_gr_e12,D,D,1,D,1,D,1,D,1
o4_gr_can,Z,A,0,A,0,A,0,A,0
o4_gr_e01,A,A,1,A,1,A,1,A,1
o4_gr_e02,A,A,1,A,1,A,1,A,1
o4_gr_e03,A,A,1,A,1,A,1,A,1
o4_gr_e04,A,A,1,A,1,A,1,A,1
o4_gr_e05,A,A,1,A,1,A,1,A,1
o4_gr_e06,A,A,1,A,1,A,1,A,1
o4_gr_e07,A,A,1,A,1,A,1,A,1
o4_gr_e08,A,A,1,A,1,A,1,A,1
o4_gr_e09,A,A,1,A,1,A,1,A,1
o4_gr_e10,A,A,1,A,1,A,1,A,1
o4_gr_e11,A,A,1,A,1,A,1,A,1
o4_gr_e12,A,A,1,A,1,A,1,A,1
o5_gr_can,Z,A,0,A,0,A,0,A,0
o5_gr_e01,D,D,1,D,1,D,1,D,1
o5_gr_e02,D,D,1,D,1,D,1,D,1
o5_gr_e03,D,D,1,D,1,D,1,D,1
o5_gr_e04,D,D,1,D,1,D,1,D,1
o5_gr_e05,D,D,1,D,1,D,1,D,1
o5_gr_e06,D,D,1,D,1,D,1,D,1
o5_gr_e07,A,A,1,D,0,D,0,D,0
o5_gr_e08,D,D,1,D,1,D,1,D,1
o5_gr_e09,D,D,1,D,1,D,1,D,1
o5_gr_e10,D,D,1,D,1,D,1,D,1
o5_gr_e11,D,D,1,D,1,D,1,D,1
o5_gr_e12,D,D,1,D,1,D,1,D,1
Total,-,-,75.385,-,87.692,-,90.769,-,86.154
Success Z,-,-,0,-,0,-,0,-,0
Success A,-,-,0.958,-,1,-,1,-,1
Success D,-,-,0.897,-,1,-,1,-,1
Success E,-,-,0,-,0.5,-,0.75,-,0.375
