File,GT,Prec_2x2,2x2,Prec_3x3,3x3,Prec_4x4,4x4,Prec_5x5,5x5,Prec_6x6,6x6,Prec_7x7,7x7,Prec_8x8,8x8,Prec_9x9,9x9,Prec_10x10,10x10,Prec_20x20,20x20
o4_gr_e10,A,B,0,A,1,A,1,A,1,A,1,A,1,A,1,A,1,A,1,B,0
o4_gr_e11,A,B,0,A,1,A,1,A,1,A,1,A,1,A,1,A,1,A,1,B,0
o4_gr_e12,A,B,0,A,1,A,1,A,1,A,1,A,1,A,1,A,1,A,1,B,0
o5-01_gr_e01,B,B1,0,C,0,B,1,B1,0,B1,0,B1,0,B1,0,B1,0,B1,0,B,1
o5-01_gr_e02,B,B,1,C,0,B,1,B1,0,B1,0,B1,0,B1,0,B1,0,B1,0,B,1
o5-01_gr_e03,B,B,1,B,1,B,1,B1,0,B1,0,B1,0,B1,0,B1,0,B1,0,B,1
o5-04_gr_e04,D,D,1,D,1,D,1,D,1,D,1,D,1,D,1,D,1,A,0,B,0
o5-04_gr_e05,D,D2,0,D,1,D,1,D,1,D,1,D,1,D,1,D,1,A,0,A,0
o5-04_gr_e06,D,D,1,D,1,D,1,D,1,D,1,D,1,D,1,D,1,A,0,A,0
o5-07_gr_e07,B,B,1,A,0,A,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5-07_gr_e08,B,B,1,A,0,A,0,A,0,B,1,B,1,B,1,B,1,B,1,B,1
o5-07_gr_e09,B,B,1,A,0,A,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5-10_gr_e10,A,B,0,A,1,A,1,A,1,A,1,A,1,B,0,B,0,B,0,B,0
o5-10_gr_e11,A,B,0,A,1,A,1,A,1,A,1,A,1,A,1,D,0,A,1,B,0
o5-10_gr_e12,A,B,0,A,1,A,1,A,1,A,1,A,1,A,1,A,1,A,1,B,0
o5_gr_e01,B,B,1,A,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e02,B,B,1,A,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e03,B,B,1,A,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e04,B,B,1,C,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
o5_gr_e05,B,B,1,C,0,B1,0,B,1,B,1,B,1,B,1,B,1,B,1,B,1
