File,Depth mean,Depth Median
p_me_d_1,0.015885626971428618,0.011312530000000098
p_me_d_2,0.02907602756316223,0.021368310000000057
p_me_r_1,0.013956651132300404,0.011999950000000092
p_me_r_2,0.02826470021830399,0.022971920000000035
p_me_v_1,0.033946123578104184,0.016666640000000066
p_me_v_2,0.039008392610878705,0.021416770000000085
p_se_d_1,0.027737757966507223,0.01654182500000001
p_se_d_2,0.03465066440800005,0.022314775000000064
p_se_r_1,0.019689068031578993,0.015019940000000065
p_se_v_1,0.04109300291609358,0.037583340000000076
p_se_v_2,0.041377614705882394,0.02099996000000004
r_me_d_1,0.016264950458579924,0.016571240000000043
r_me_d_2,0.03976668862035229,0.03815745000000004
r_me_d_22,0.037297860263929665,0.03880017000000002
r_me_r_1,0.015952463359872656,0.015863735000000045
r_me_r_2,0.0350087133464956,0.039666640000000086
r_me_v_1,0.015362931608876603,0.016277480000000066
r_me_v_2,0.04623273875239928,0.041986155000000025
r_se_d_1,0.01749829812332444,0.01719694000000005
r_se_d_2,0.038512183843813434,0.03999983000000007
r_se_r_1,0.01661101278518523,0.01679378000000009
r_se_r_2,0.03245106019920323,0.03764488500000007
r_se_v_1,0.01580496325227968,0.01643653500000003
r_se_v_2,0.05006424731162795,0.050999989999999995
t_me_d_1,0.03763132957092824,0.04299997
t_me_d_2,0.07444119011560699,0.08627768000000008
t_me_r_1,0.038009217606986945,0.04327993000000008
t_me_r_2,0.09110938787061999,0.09099995000000005
t_me_v_1,0.03712690283687948,0.04206724500000003
t_me_v_2,0.07642407142050804,0.08950000000000002
t_se_d_1,0.03666168669833734,0.04099994000000007
t_se_d_2,0.06444939041888809,0.07634209000000003
t_se_d_22,0.07841985945089762,0.08894430000000009
t_se_r_1,0.040294674380952425,0.045353160000000003
t_se_r_2,0.06457893488165685,0.07138090500000005
t_se_v_1,0.04158638260155579,0.042633279999999996
t_se_v_2,0.07512622693703312,0.08999995999999999
