File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,Class_GT_n
o4_gr_e01,A,0.098,0.122,0.206,0.196,0.385,0.05,0.062,0.098,0.157,0.258,0.033,0.055,0.116,0.175,0.405,0.054,0.079,0.124,0.221,0.432,0.067,0.121,0.166,0.221,0.494,1
o4_gr_e02,A,0.102,0.106,0.184,0.159,0.474,0.039,0.06,0.137,0.126,0.281,0.022,0.07,0.124,0.164,0.88,0.036,0.078,0.139,0.178,0.733,0.056,0.113,0.186,0.201,1.673,1
o4_gr_e03,A,0.073,0.141,0.168,0.261,0.521,0.026,0.067,0.126,0.163,0.37,0.019,0.059,0.114,0.156,0.607,0.029,0.062,0.12,0.155,0.387,0.041,0.092,0.159,0.223,0.534,1
o4_gr_e04,C,0.12,0.125,0.17,0.167,0.178,0.077,0.082,0.072,0.118,0.082,0.038,0.066,0.08,0.119,0.114,0.076,0.096,0.121,0.207,0.266,0.169,0.2,0.315,0.569,4.775,3
o4_gr_e05,C,0.126,0.16,0.152,0.171,0.198,0.061,0.073,0.08,0.098,0.115,0.032,0.068,0.086,0.109,0.161,0.065,0.091,0.133,0.163,0.292,0.158,0.166,0.301,0.398,1.297,3
o4_gr_e06,C,0.148,0.126,0.135,0.179,0.195,0.075,0.064,0.092,0.127,0.109,0.038,0.064,0.094,0.146,0.156,0.077,0.092,0.14,0.206,0.421,0.15,0.186,0.358,0.504,100,3
o4_gr_e07,A,0.025,0.06,0.149,0.259,0.183,0.057,0.04,0.076,0.124,0.11,0.043,0.06,0.099,0.16,0.184,0.073,0.082,0.135,0.203,0.301,0.117,0.197,0.246,0.297,0.665,1
o4_gr_e08,A,0.055,0.127,0.152,0.202,0.265,0.033,0.062,0.104,0.156,0.203,0.026,0.061,0.118,0.181,0.299,0.061,0.082,0.128,0.18,0.246,0.143,0.166,0.223,0.263,0.434,1
o4_gr_e09,A,0.028,0.082,0.122,0.169,0.215,0.028,0.048,0.083,0.134,0.179,0.043,0.063,0.114,0.185,0.285,0.065,0.087,0.148,0.185,0.423,0.099,0.174,0.241,0.29,1.032,1
o4_gr_e10,B,0.111,0.133,0.256,0.491,100,0.064,0.067,0.132,0.195,1.595,0.035,0.057,0.096,0.152,0.321,0.114,0.069,0.098,0.132,0.149,0.25,0.088,0.152,0.164,0.234,2
o4_gr_e11,B,0.221,0.082,0.197,0.404,1.863,0.086,0.059,0.106,0.186,1.182,0.03,0.066,0.109,0.174,0.41,0.092,0.078,0.123,0.172,0.324,0.182,0.15,0.22,0.174,0.294,2
o4_gr_e12,B,0.124,0.126,0.229,0.507,100,0.062,0.067,0.137,0.209,1.225,0.031,0.064,0.104,0.165,0.401,0.124,0.065,0.075,0.165,0.144,0.257,0.09,0.142,0.305,0.199,2
o5_gr_can,Z,0.024,0.032,0.05,0.055,0.017,0.043,0.066,0.068,0.065,0.025,0.029,0.08,0.088,0.064,0.039,0.078,0.1,0.075,0.075,0.052,0.061,0.073,0.063,0.063,0.047,0
o5_gr_e01,D,100,100,100,100,4.791,0.148,0.194,0.24,0.242,0.21,0.046,0.052,0.095,0.141,0.12,0.128,0.154,0.169,0.232,0.186,100,100,3.538,0.785,0.912,4
o5_gr_e02,D,100,100,100,5.206,2.12,0.139,0.21,0.288,0.221,0.231,0.045,0.073,0.115,0.125,0.143,0.117,0.16,0.198,0.178,0.218,100,3.461,1.502,0.671,0.613,4
o5_gr_e03,D,100,100,100,100,2.813,0.125,0.184,0.272,0.296,0.175,0.036,0.06,0.105,0.139,0.117,0.168,0.161,0.213,0.22,0.196,100,100,5.931,1.2,1.23,4
o5_gr_e04,D,0.505,2.603,100,100,100,0.127,0.131,0.214,0.435,0.672,0.047,0.053,0.099,0.147,0.139,0.128,0.126,0.198,0.377,0.288,0.491,0.644,100,100,100,4
o5_gr_e05,D,0.242,0.723,100,100,100,0.084,0.134,0.182,0.335,0.562,0.036,0.069,0.102,0.151,0.139,0.111,0.158,0.382,0.494,0.287,1.402,100,100,100,100,4
o5_gr_e06,D,0.33,1.212,100,100,100,0.11,0.13,0.204,0.4,0.632,0.038,0.068,0.101,0.163,0.127,0.118,0.169,0.23,0.373,0.214,2.463,100,100,100,100,4
o5_gr_e07,E,100,0.288,0.285,0.443,0.299,100,0.084,0.141,0.17,0.098,0.05,0.051,0.111,0.18,0.232,0.167,0.101,0.803,100,100,0.143,10.356,100,100,100,3
o5_gr_e08,D,1.129,1.558,1.224,0.887,0.761,0.122,0.153,0.211,0.253,0.24,0.04,0.072,0.115,0.164,0.133,0.12,0.17,0.201,0.207,0.159,10.01,100,100,3.939,1.661,4
o5_gr_e09,D,0.548,0.865,0.705,0.867,0.774,0.156,0.124,0.176,0.258,0.268,0.057,0.069,0.116,0.181,0.172,0.151,0.127,0.177,0.217,0.284,0.513,11,4.411,3.514,14.133,4
o5_gr_e10,D,0.397,0.704,100,100,100,0.129,0.113,0.199,0.346,0.285,0.044,0.053,0.108,0.143,0.137,0.115,0.113,0.173,0.202,0.313,0.234,0.512,2.264,100,100,4
o5_gr_e11,D,0.473,2.57,100,100,100,0.112,0.136,0.234,0.372,0.543,0.043,0.071,0.113,0.158,0.144,0.119,0.136,0.162,0.209,0.252,0.189,0.318,0.804,4.069,100,4
o5_gr_e12,E,100,10.602,10.537,1.739,0.669,0.332,0.229,0.223,0.223,0.17,0.045,0.075,0.107,0.148,0.197,0.085,0.106,0.167,0.302,1.603,0.144,0.311,3.306,100,100,4
