o1-01_gr_e01,B,B2,0
o1-01_gr_e02,B,B2,0
o1-01_gr_e03,B,B2,0
o1-04_gr_e04,B,B2,0
o1-04_gr_e05,B,B2,0
o1-04_gr_e06,B,B2,0
o1_gr_e01,A,A1,0
o1_gr_e02,A,A1,0
o1_gr_e03,A,A,1
o1_gr_e04,A,A,1
o1_gr_e05,A,A,1
o1_gr_e06,A,A,1
o1_gr_e07,A,A,1
o1_gr_e08,A,B,0
o1_gr_e09,A,A1,0
o1_gr_e10,A,A,1
o1_gr_e11,A,A,1
o1_gr_e12,A,A,1
o2-01_gr_e01,B,B2,0
o2-01_gr_e02,B,B2,0
o2-01_gr_e03,B,B2,0
o2-04_gr_e04,D,B2,0
o2-04_gr_e05,D,B2,0
o2-04_gr_e06,D,B2,0
o2-07_gr_e07,B,B,1
o2-07_gr_e08,B,B,1
o2-07_gr_e09,B,B,1
o2-10_gr_e10,B,A1,0
o2-10_gr_e11,A,A,1
o2-10_gr_e12,B,A1,0
o2_gr_e01,C,B2,0
o2_gr_e02,C,B2,0
o2_gr_e03,C,B2,0
o2_gr_e04,B,B2,0
o2_gr_e05,B,B2,0
o2_gr_e06,B,B2,0
o2_gr_e07,B,B2,0
o2_gr_e08,B,B2,0
o2_gr_e09,B,B2,0
o2_gr_e10,C,B,0
o2_gr_e11,C,B2,0
o2_gr_e12,C,B2,0
o3_gr_e01,B,B2,0
o3_gr_e02,B,B2,0
o3_gr_e03,B,B2,0
o3_gr_e04,C,B2,0
o3_gr_e05,B,B2,0
o3_gr_e06,B,B2,0
o3_gr_e07,C,B2,0
o3_gr_e08,B,B2,0
o3_gr_e09,C,B2,0
o3_gr_e10,B,B2,0
o3_gr_e11,B,B2,0
o3_gr_e12,B,B2,0
o4_gr_e01,A,A1,0
o4_gr_e02,A,B,0
o4_gr_e03,A,A1,0
o4_gr_e04,A,A1,0
o4_gr_e05,A,A1,0
o4_gr_e06,A,A1,0
o4_gr_e07,A,A1,0
o4_gr_e08,A,A,1
o4_gr_e09,A,A1,0
o4_gr_e10,A,A1,0
o4_gr_e11,A,A1,0
o4_gr_e12,A,A,1
o5-01_gr_e01,B,B,1
o5-01_gr_e02,B,B,1
o5-01_gr_e03,B,B,1
o5-04_gr_e04,D,A,0
o5-04_gr_e05,D,A,0
o5-04_gr_e06,D,A,0
o5-07_gr_e07,B,A1,0
o5-07_gr_e08,B,A1,0
o5-07_gr_e09,B,A1,0
o5-10_gr_e10,A,A1,0
o5-10_gr_e11,A,A,1
o5-10_gr_e12,A,A,1
o5_gr_e01,B,B2,0
o5_gr_e02,B,B2,0
o5_gr_e03,B,B2,0
o5_gr_e04,B,B2,0
o5_gr_e05,B,B2,0
o5_gr_e06,B,B2,0
o5_gr_e07,C,B2,0
o5_gr_e08,B,B2,0
o5_gr_e09,B,B2,0
o5_gr_e10,B,B2,0
o5_gr_e11,B,B2,0
o5_gr_e12,C,B2,0
Total,-,-,21.11111111111111
Success A,-,-,46.42857142857143
Success B,-,-,13.333333333333334
Success C,-,-,0.0
Success D,-,-,0.0
