,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,0.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0,100.0
Success_B,66.66666666666666,0.0,60.0,0.0,55.55555555555556,0.0,26.666666666666668,55.55555555555556,26.666666666666668
Success_C,63.63636363636363,72.72727272727273,27.27272727272727,72.72727272727273,0.0,27.27272727272727,72.72727272727273,27.27272727272727,72.72727272727273
Success_D,83.33333333333334,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0
TOTAL,46.666666666666664,40.0,70.0,40.0,58.88888888888889,34.44444444444444,60.0,68.88888888888889,60.0
