,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,100.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0,100.0
Success_B,20.0,0.0,26.666666666666668,60.0,55.55555555555556,57.77777777777777,0.0,55.55555555555556,0.0
Success_C,63.63636363636363,72.72727272727273,72.72727272727273,27.27272727272727,27.27272727272727,0.0,27.27272727272727,27.27272727272727,72.72727272727273
Success_D,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0
TOTAL,55.55555555555556,40.0,58.88888888888889,71.11111111111111,68.88888888888889,60.0,34.44444444444444,68.88888888888889,40.0
