File,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_can,0.022363680000000028,0.022749859722222248,0.021258362500000023,0.02179352500000002,0.02187222250000002,0.018148328055555576,0.0230859377777778,0.021210168055555572,0.02095416861111113,0.018574679722222234,0.018834325000000023,0.022236590000000014,0.01979918700000002,0.014088383666666685,0.01820415533333335,0.023336473611111137,0.024177323055555578,0.022475708055555575,0.022106862777777802,0.024081220277777798,0.022787614666666692,0.023946481000000023,0.02186028666666669,0.022269153333333354,0.02343126600000002
o1_gr_e01,0.07255927486486488,0.06909951972222222,0.06390893916666668,0.0913774252777778,0.10257732472222224,0.0666497677777778,0.06501063222222224,0.06134071444444447,0.08795695250000003,0.09962181527777779,0.04502026933333335,0.04368923266666669,0.0436210446875,0.07333215272727274,0.11097934029411764,0.05227236833333335,0.047115003777777796,0.08306711730769233,0.1071378202564103,0.14493039194444446,0.0342482575757576,0.08124397512195124,0.13233668266666668,0.146485002,0.14750000000000002
o1_gr_e02,0.05846476702702704,0.05950300805555558,0.05790008638888891,0.07826023472222225,0.09856824416666668,0.05151985666666667,0.057721353611111116,0.06413627111111112,0.07324183305555557,0.09943785222222222,0.014633222500000015,0.03452735200000001,0.043865746333333365,0.07352259033333336,0.10332597566666668,0.05126091500000001,0.06223357527777779,0.06213266305555557,0.08682898,0.10845306111111111,0.032165950000000006,0.042980579000000026,0.06502203400000002,0.08832157966666669,0.109463869
o1_gr_e03,0.08753422837837839,0.05314742022727274,0.08420176000000001,0.12346712682926829,0.1542501,0.08775174416666669,0.054447357222222235,0.07186350750000003,0.12102676785714288,0.1542501,0.015545790333333346,0.027728946774193564,0.060069670909090926,0.11439324731707316,0.1542501,0.08051058916666667,0.05909282027777777,0.0830533875,0.10606594948717947,0.15193203416666667,0.043549436333333344,0.05657988843750001,0.07534882258064518,0.1021827206666667,0.14502890400000001
o1_gr_e04,0.072381212972973,0.0647917916666667,0.055040645833333346,0.10349166473684211,0.1376482452777778,0.05242630527777781,0.07462220888888892,0.05699756972222224,0.09965904263157896,0.1361133341666667,0.04545519233333335,0.03784818700000002,0.04913027906250002,0.09360570435897439,0.13124572233333337,0.06477329361111113,0.049745555277777784,0.060028858888888904,0.09919542972222223,0.13151944333333337,0.02546695066666669,0.03582823133333335,0.07148470212121213,0.10984358000000004,0.13319466300000002
o1_gr_e05,0.07772736297297299,0.05947849166666668,0.06696556025641029,0.11217826055555556,0.14646794250000003,0.08166738972222225,0.06603960027777779,0.05225431270270271,0.09455855888888888,0.15098579194444448,0.03275766700000002,0.040073245000000014,0.05574698842105262,0.10202370200000002,0.15300001000000002,0.08193698555555556,0.05111576000000001,0.07289902650000002,0.12154655111111112,0.15300001000000002,0.03874361433333335,0.056400536200000004,0.10651757463414638,0.14171855800000002,0.15300001000000002
o1_gr_e06,0.050229239729729744,0.06350962527777777,0.05815029916666667,0.08735596777777777,0.1113990711111111,0.03726973000000001,0.06884766583333334,0.059703319444444465,0.08419797416666669,0.11454450388888891,0.02687460800000001,0.04185209800000002,0.04551366967741936,0.0813593879411765,0.12186992666666666,0.06039903277777778,0.05514074444444445,0.061380276944444465,0.0917630716666667,0.12802333638888885,0.03569614700000001,0.044649493000000005,0.071015165483871,0.1029299340625,0.13109185566666665
o1_gr_e07,0.08791412162162167,0.06146620416666668,0.11414782476923076,0.17919346722222226,0.18106665000000005,0.07122772055555558,0.06240396305555559,0.09440296254545454,0.16573717611111116,0.18106665000000005,0.038667476666666686,0.030496542727272744,0.08549739162790697,0.13936778567567568,0.18106665000000005,0.08651035833333337,0.08125259361111113,0.07053383236842105,0.1212414425,0.18106665000000005,0.059891065333333354,0.06608215833333335,0.06727905363636366,0.104714226097561,0.1730177636666667
o1_gr_e08,0.04725164405405405,0.03545003583333334,0.06157289194444447,0.08146424527777779,0.09800000999999997,0.042262045,0.04292360666666667,0.049926198055555565,0.07584990694444443,0.09744445499999997,0.03626588466666667,0.03380605866666667,0.04700081466666669,0.07665586666666667,0.09800000999999997,0.04748310333333333,0.04483005750000001,0.0675460111111111,0.08311021833333333,0.09619624055555553,0.04716817400000002,0.056959349333333346,0.07484863,0.08767087233333332,0.09655205566666665
o1_gr_e09,0.0696313510810811,0.054084288611111114,0.06392334500000002,0.08554634944444445,0.10997059361111113,0.08179192888888892,0.06117814527777779,0.057658296111111125,0.07678369555555559,0.11149731694444448,0.05073848700000001,0.03885859533333336,0.05468048068181819,0.08754715897435901,0.13300281900000002,0.0754762277777778,0.044772847021276624,0.09883319520833338,0.12509072166666668,0.14025004000000002,0.03822194833333335,0.05788188027777779,0.13356866500000003,0.14025004000000002,0.14025004000000002
