o1_gr_syn_can,37,36,36,36,36,36,36,36,36,36,30,30,30,30,30,36,36,36,36,36,30,30,30,30,30
o1_gr_can,16,16,20,16,18,21,16,20,17,24,20,16,20,24,25,16,16,20,16,20,16,16,20,16,22
o1_gr_e01,25,25,31,25,27,23,24,29,26,33,23,25,32,33,34,27,45,52,39,4,33,41,22,4,0
o1_gr_e02,26,27,30,26,23,24,23,24,30,23,32,26,30,30,20,24,22,30,29,18,27,29,28,27,19
o1_gr_e03,19,44,34,41,0,18,30,33,42,0,30,31,33,41,0,21,30,28,39,4,28,32,31,30,9
o1_gr_e04,22,24,34,38,6,26,20,33,38,10,22,26,32,39,13,21,29,36,32,12,27,30,33,35,12
o1_gr_e05,21,27,39,28,7,19,24,37,36,2,26,26,38,30,0,19,31,40,28,0,26,50,41,19,0
o1_gr_e06,27,24,30,26,23,30,21,29,29,22,27,25,31,34,16,23,28,34,35,11,27,30,31,32,7
o1_gr_e07,24,31,65,12,0,25,29,55,21,0,26,33,43,37,0,23,25,38,44,0,28,28,33,41,5
o1_gr_e08,21,33,35,27,0,23,26,31,27,1,22,26,30,23,0,25,32,28,25,4,26,27,22,19,4
o1_gr_e09,22,29,29,26,20,17,24,29,31,20,21,26,44,39,5,19,47,48,20,0,27,36,18,0,0
o1_gr_e10,25,21,32,34,9,24,22,30,40,6,29,27,36,36,6,24,29,31,35,5,25,26,32,29,2
o1_gr_e11,25,22,58,19,0,22,27,48,23,0,24,34,43,31,0,25,33,35,38,0,25,29,30,30,6
o1_gr_e12,19,29,37,40,16,17,22,36,36,20,23,22,31,30,19,21,24,31,26,20,23,31,28,31,15
o2_gr_can,19,16,20,17,16,25,18,20,16,16,23,16,20,16,17,22,21,20,16,17,16,19,28,25,12
o2_gr_e01,0,0,0,0,0,21,15,28,35,9,27,26,19,30,7,4,0,0,0,0,0,0,0,0,0
o2_gr_e02,5,0,0,0,0,34,13,12,10,0,24,24,23,21,17,0,0,0,0,0,0,0,0,0,0
o2_gr_e03,9,41,52,0,0,27,55,29,0,0,26,76,45,0,0,19,45,57,0,0,4,31,49,0,0
o2_gr_e05,0,0,0,0,0,26,24,2,0,0,21,20,37,30,20,0,0,1,7,9,0,0,0,0,0
o2_gr_e06,2,0,0,0,0,34,19,6,8,2,23,20,25,26,17,1,0,0,0,0,0,0,0,0,0
o2_gr_e07,33,30,30,32,15,45,31,38,49,5,30,53,18,7,0,33,22,0,0,0,18,0,0,0,0
o2_gr_e09,1,0,0,0,0,41,12,13,15,8,24,15,31,32,26,0,0,0,6,5,0,0,0,0,0
o2_gr_e10,2,0,0,0,0,25,27,14,19,1,26,23,24,24,17,1,0,0,0,0,0,0,0,0,0
o2_gr_e11,38,37,12,0,0,46,72,0,0,0,32,83,0,0,0,21,46,13,0,0,4,23,44,0,0
o2_gr_e24,0,0,0,0,0,26,15,22,22,9,29,24,17,12,8,4,0,0,0,0,0,0,0,0,0
