File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
o1-01_gr_e01,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.18207648636363635,0.2098283010526316,0.2225589952631579,0.23927956,0.25,0.25,0.25,0.25,0.25,0.25,0.16248007684210528,0.1805096905263158,0.19068161157894736,0.21887991736842108,0.22034552473684207,0.24165764263157893,0.25,0.25,0.25,0.25,0.050622816842105255,0.01984562949999999,0.017573217499999995,0.09433412052631578,0.03317965368421052,0.08539928263157895,0.05379802956521739,0.08764658210526315,0.07203453333333333,0.07935815148148145,0.018046788999999987,0.03476915578947368,0.019715965499999995,0.08279819315789473,0.07422644842105262,0.06798670157894737,0.040779262608695646,0.06945389157894738,0.09568090684210526,0.0639035152173913,0.23872972157894737,0.1388936257894737,0.22595939105263158,0.25,0.25,0.25,0.25,0.2097040105263158,0.1540295242105263,0.17639122789473682,0.2003151042105263,0.24523766894736843,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e02,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.17819558374999997,0.2205163994736842,0.24547018210526317,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.11940233263157891,0.20349739684210524,0.22300414684210526,0.2317067252631579,0.25,0.25,0.25,0.23417500789473683,0.21080463526315787,0.25,0.01591578949999999,0.01808188899999999,0.01996411999999999,0.10740008631578946,0.034668754999999996,0.057316919473684204,0.058293623749999975,0.0652015985,0.07175401708333333,0.07779888,0.06542467052631577,0.02519739699999999,0.02936191749999999,0.1078059747368421,0.07898786631578947,0.07514725315789472,0.06221661631578947,0.09010408631578946,0.09382976210526314,0.10213525789473685,0.15237635368421049,0.09802263538461536,0.13991786531250003,0.22782952894736846,0.25,0.25,0.25,0.25,0.25,0.25,0.15463541368421052,0.18033565999999998,0.23884521947368423,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e03,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1559159353571429,0.17581488045454544,0.23456611105263162,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.08440502560000002,0.07857271900000003,0.151467580952381,0.19772548083333333,0.25,0.25,0.25,0.25,0.25,0.25,0.0632829610526316,0.019036615500000027,0.024822723600000023,0.0723143863157895,0.09170420315789476,0.0463813810526316,0.05815159333333336,0.11392779157894738,0.0723037421052632,0.08129162850000005,0.1010987163157895,0.024020669500000025,0.025402879130434815,0.09581410736842107,0.09044947263157896,0.04059530181818185,0.047974535263157925,0.06526319157894739,0.06221248571428574,0.0699144231818182,0.19673462210526316,0.12743542000000002,0.21179390578947369,0.2455438642105263,0.24261245315789473,0.25,0.25,0.25,0.25,0.23223685578947367,0.22629370368421053,0.2408438668421053,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e04,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.13714679214285713,0.13906087769230768,0.14934359538461536,0.1324794413333333,0.18956253538461537,0.15377030307692305,0.14569388,0.13700456692307691,0.18994658769230768,0.25,0.11678565538461536,0.09467320736842103,0.09463547944444443,0.10297855999999998,0.11767884384615379,0.10695074846153846,0.10831549599999997,0.10881933411764702,0.11855861666666663,0.25,0.15420051,0.05523090294117645,0.05426944470588232,0.05820142222222221,0.06331495846153842,0.06582209941176469,0.06996970888888886,0.06984751249999997,0.07813341238095237,0.15421903384615382,0.1578431646153846,0.03585950615384613,0.019585537499999976,0.02406916571428569,0.06016529384615383,0.0610504546153846,0.031340968888888855,0.032656946666666645,0.04002586263157893,0.05998880062499998,0.08221492461538459,0.030089642307692285,0.03133872384615382,0.016534159999999975,0.1254517876923077,0.055220820769230745,0.039381243846153824,0.023294276428571396,0.03307336799999997,0.07826803153846153,0.12876416307692307,0.04392046111111108,0.046557320499999985,0.04974215944444443,0.05207578923076921,0.05180035117647056,0.05026988624999998,0.0533280484210526,0.05819917470588233,0.19168303615384613,0.09970739733333331,0.08921292722222218,0.0945636076470588,0.09456335466666665,0.14393138769230768,0.09545290941176468,0.09540349249999999,0.09463968899999999,0.1084515915384615,0.25,0.13673885615384612,0.12377529499999997,0.13639460076923077,0.14790758538461535,0.18329888076923076,0.14230850615384616,0.14714455153846154,0.1439121815384615,0.22147347999999997,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e05,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22698284076923075,0.20472786538461543,0.20439604230769232,0.2047429953846154,0.22713168846153844,0.20441030538461538,0.2035677569230769,0.21785083153846152,0.25,0.25,0.14565289923076927,0.11597015476190478,0.11993417350000002,0.1239668527777778,0.14284340153846156,0.12443118666666665,0.12204058368421054,0.12173674809523811,0.1605097738461539,0.25,0.1722513753846154,0.05881101450000002,0.06529829050000002,0.06873467761904763,0.08468691153846156,0.07236910714285717,0.0692619604761905,0.07403381476190478,0.09327550111111116,0.25,0.05149138615384617,0.018461009333333347,0.02133208470588236,0.022883151428571443,0.11076540461538462,0.024140943076923087,0.024880167142857162,0.030853272000000022,0.048837583181818196,0.1860676323076923,0.028286528461538483,0.029934828461538478,0.030985791538461555,0.014763546428571448,0.12481458846153846,0.035620095384615406,0.036804348461538475,0.024324952666666688,0.03734397000000002,0.15332220846153846,0.06131332125000004,0.057488440869565234,0.054948288181818204,0.06154814136363638,0.07829737769230771,0.057158311052631604,0.05615055350000002,0.06213882040000002,0.07047098333333336,0.25,0.12226862470588239,0.12064002450000003,0.12037773750000005,0.11689729823529416,0.13667310153846157,0.11494523250000004,0.11178341380952383,0.11393842947368422,0.21961538153846155,0.25,0.25,0.2269487153846154,0.21932810076923076,0.21769844538461539,0.22579021615384617,0.2021452007692308,0.23347271846153847,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e06,B,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.1915065192307692,0.17256160846153848,0.17964421846153847,0.15293479384615385,0.15174096846153848,0.16029576153846153,0.19524007923076925,0.12799517461538465,0.12546389357142856,0.22984007692307692,0.1513976230769231,0.09975560400000003,0.10497602647058824,0.10311258875000004,0.10552185777777777,0.10639783944444445,0.10655372357142859,0.10100145846153848,0.09702036333333335,0.1792462130769231,0.23714600153846155,0.06091846238095241,0.05565795631578949,0.05944524526315792,0.06084933722222225,0.06139162611111112,0.062140484285714295,0.05933979062500001,0.05846980714285716,0.20899569076923077,0.17560125076923078,0.14057524692307694,0.015588914375000009,0.02121618000000002,0.022619054285714296,0.024120017142857157,0.0762427653846154,0.02534820461538462,0.028062042500000006,0.04914483923076925,0.1199206176923077,0.15781848999999998,0.04699108923076924,0.011811111538461547,0.06816619307692308,0.06912509307692308,0.10641058230769232,0.07195563692307692,0.025823710909090917,0.04518181562500001,0.25,0.04810618235294119,0.03865557600000001,0.04094176055555557,0.04306538473684212,0.044291301578947395,0.05157342642857147,0.05111704866666667,0.05321480434782612,0.14882295307692311,0.09774456875000001,0.086855470625,0.08528512714285717,0.0908584804347826,0.0940735427777778,0.09464137705882356,0.11128414615384616,0.09840194590909093,0.11677950538461539,0.25,0.14527265846153847,0.17064386230769232,0.14317833923076925,0.12979663533333338,0.14015930923076925,0.13281060615384613,0.18934652384615386,0.1602221453846154,0.24188663384615383,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1_gr_e01,A,0,0.200724759,0.03064627400000001,0.15363168200000002,0.10767406000000002,0.04971032700000001,0.07370497000000002,0.12929087,0.09822907800000003,0.22171452,0.25,0.10512099100000001,0.07891921800000001,0.079260642,0.03387402100000001,0.02602192666666669,0.05253027714285717,0.07657898333333334,0.09581210071428571,0.19248621900000001,0.25,0.154759827,0.153293853,0.153059224,0.03703139400000001,0.07345741700000001,0.05403407727272729,0.110423029,0.12462028100000003,0.177457006,0.25,0.154563446,0.153512003,0.153368803,0.06190168900000002,0.051751957000000015,0.05270950600000002,0.11013653100000001,0.12353134600000001,0.22020415,0.25,0.030009828000000016,0.08102634900000001,0.106781864,0.016353803076923086,0.033068139166666684,0.05263056428571431,0.0734042153846154,0.0915971081818182,0.19096343999999998,0.25,0.054914321,0.104196803,0.08435947700000002,0.11181446000000002,0.07696848600000002,0.13182464,0.07069478300000002,0.10448001000000004,0.174569816,0.25,0.06201960900000001,0.037658873000000016,0.08556777600000001,0.02372410700000001,0.12225601800000001,0.06994723400000002,0.139761992,0.117919407,0.188410614,0.25,0.04178283100000001,0.11130197800000001,0.04574714600000003,0.029038862000000016,0.03963464615384617,0.05484981500000001,0.07044601333333338,0.08453365818181818,0.14307861500000002,0.25,0.11349944200000002,0.07031067100000002,0.07411718800000001,0.05754318600000001,0.126461343,0.07632179200000003,0.142493714,0.11540809600000002,0.187569653,0.25,0.026812684666666687,0.03444290466666668,0.04012947400000001,0.04723333272727275,0.05494244823529413,0.06128626166666668,0.07009125000000001,0.07817994687500002,0.08909581428571431,0.25
o1_gr_e02,A,0,0.178911102,0.13228390699999998,0.08323177499999998,0.031186013999999977,0.109958162,0.034402388181818164,0.07502446599999998,0.07197163833333331,0.183761491,0.25,0.03657719299999999,0.105695955,0.054671964999999975,0.004832088333333308,0.014466570999999984,0.03490793466666665,0.054959601666666635,0.08594034899999999,0.16374777599999998,0.25,0.10765575599999999,0.153743137,0.15290069599999997,0.10429342499999998,0.10990711699999997,0.03352020454545452,0.09327849799999999,0.14023860299999996,0.180944562,0.25,0.10730452099999999,0.153400253,0.153378881,0.105850114,0.08671025499999999,0.03213587899999998,0.07172586699999997,0.140046544,0.14683016,0.25,0.005989536363636336,0.03062892999999998,0.105830238,0.013129494999999986,0.0215760918181818,0.03615233727272726,0.05206159769230768,0.08482329599999998,0.09480254799999999,0.25,0.032018405999999985,0.129216701,0.154710937,0.015842021999999976,0.09290573899999999,0.05901507599999998,0.092735456,0.13986796099999999,0.09779276099999996,0.25,0.038291384999999976,0.10851680999999998,0.08582006799999999,0.04341493699999997,0.09428824699999998,0.05996793499999997,0.09323601499999998,0.14011674999999996,0.129757137,0.25,0.02477145666666664,0.024121423999999985,0.04870524599999998,0.029114157999999973,0.05577138799999999,0.06385299099999997,0.05579903272727271,0.08550516299999997,0.07811724099999998,0.25,0.056796472,0.12115338799999997,0.06053117299999998,0.040824946666666646,0.10416681099999998,0.08859983299999998,0.11590196599999998,0.120978854,0.08002539099999997,0.25,0.0464230764285714,0.050896694705882324,0.05392341153846152,0.05857587285714283,0.059234806428571395,0.05921855312499999,0.063735405,0.06651822666666664,0.07924253666666663,0.25
o1_gr_e03,A,0,0.09256894499999999,0.04775886199999999,0.04609987199999999,0.026229169166666653,0.04489530699999999,0.06809397999999997,0.08162058769230766,0.09455762352941176,0.151802586,0.25,0.112719237,0.04289163399999998,0.11124361399999998,0.08876647599999998,0.03143850076923075,0.05078173615384615,0.06657749166666665,0.08475964399999998,0.10803572428571427,0.25,0.08541527299999999,0.014645057999999989,0.10900636499999998,0.15682972599999997,0.07026117699999998,0.04027253199999998,0.06173229399999998,0.11123681599999997,0.13491103499999998,0.25,0.13180603,0.10698054899999998,0.131801324,0.06163150899999999,0.09084359299999997,0.038206827999999984,0.05580082399999999,0.10558831199999999,0.08166108000000001,0.25,0.03291625199999998,0.006417080909090883,0.10645105499999999,0.03682945499999999,0.04294779099999998,0.03236004999999999,0.04820028909090908,0.060984335999999986,0.07439983416666666,0.21697537900000002,0.05801055399999999,0.005931372999999985,0.154064023,0.13121667399999998,0.08755220899999998,0.072971733,0.08234779099999998,0.09374797099999999,0.06621068636363633,0.180145738,0.10952253599999999,0.083192542,0.15440364099999998,0.03697492999999998,0.13357855000000002,0.06991261299999998,0.05917247399999999,0.06920423699999997,0.09731092799999999,0.17698496800000002,0.09125942099999998,0.015951539999999983,0.03841623599999998,0.11021992799999998,0.08756480799999998,0.023430953636363615,0.055719199,0.08369310099999998,0.04913839538461537,0.17350735099999998,0.09412202699999998,0.06834021199999998,0.136126731,0.11423091099999998,0.06855050299999998,0.04677682699999998,0.161671896,0.055066825,0.103151043,0.17023629499999998,0.118718888,0.028634608461538445,0.03107390714285713,0.03161085636363634,0.03170499928571426,0.03187178499999998,0.033721989999999986,0.033645019999999984,0.05896491699999997,0.10713773
o1_gr_e04,A,0,0.041949549000000017,0.019034253636363654,0.027630300000000017,0.030721718333333356,0.04180416500000003,0.049637756153846184,0.0574092292857143,0.06603436062500002,0.179016135,0.25,0.06117625200000001,0.03646684600000002,0.04026117000000002,0.11291764200000001,0.02768740750000001,0.03939380000000002,0.06909419000000003,0.0636663116666667,0.19696786500000002,0.25,0.154078548,0.10568018400000001,0.107949424,0.06221032600000002,0.112268708,0.05302736800000002,0.06463463000000003,0.09559131400000001,0.14002098300000002,0.25,0.153528712,0.10457925600000002,0.153575234,0.15442818200000002,0.03923951100000002,0.116133313,0.08171465800000002,0.111922662,0.11486894700000001,0.192166723,0.05476840100000001,0.005904053636363649,0.10560280300000002,0.10619033900000001,0.013082023000000009,0.022353060000000025,0.036992419166666686,0.04926115600000003,0.06640842909090913,0.172557978,0.104403694,0.005850694000000023,0.15396183000000002,0.153946307,0.106451921,0.06286996900000001,0.030048289000000027,0.06622251200000003,0.08527595300000002,0.18796522200000002,0.154054974,0.104517236,0.153971936,0.10719467800000002,0.08350243100000002,0.08527116700000001,0.07128024600000002,0.042246125000000016,0.09835011400000002,0.18966528900000001,0.10727359600000001,0.03389405600000002,0.03830209600000002,0.06364686100000001,0.04284856500000002,0.03918941500000002,0.04541715600000002,0.036984139166666694,0.05095956636363639,0.191418992,0.08543021,0.038102870000000025,0.067792296,0.11605648400000002,0.07261447000000001,0.11401740500000002,0.11357117200000003,0.053604222000000014,0.10683494700000003,0.152936931,0.157272677,0.020208735294117666,0.029437666428571447,0.058623644000000016,0.03897505230769233,0.031193164000000016,0.028742227272727294,0.03379360583333335,0.044380320833333355,0.171739416
