File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o2_gr_e07,B,1,1,1,1,1,0.902,1,1,0.734,0.172,0.149,0.033,0.058,0.115,0.145,0.107,0.737,1,0.593,0.34,0.28,1,1,1,1,1
o2_gr_e08,B,1,1,1,1,1,0.631,1,1,0.422,0.168,0.132,0.04,0.058,0.1,0.126,0.088,1,0.6,0.448,0.3,0.227,1,1,1,1,1
o2_gr_e09,B,1,1,1,1,1,0.755,1,1,0.925,0.281,0.12,0.035,0.055,0.104,0.133,0.092,1,0.59,0.616,0.339,0.225,1,1,1,1,1
o2_gr_e10,C,2,0.127,0.236,1,1,1,0.066,0.099,0.173,0.269,0.832,0.037,0.075,0.113,0.134,0.128,1,1,1,1,0.327,1,1,1,1,1
o2_gr_e11,C,2,0.178,0.405,1,1,1,0.073,0.087,0.321,0.477,1,0.035,0.051,0.101,0.144,0.123,1,1,1,1,0.331,1,1,1,1,1
o2_gr_e12,C,2,0.787,1,1,1,1,0.09,0.13,0.667,1,1,0.037,0.073,0.134,0.153,0.079,1,1,1,0.76,0.25,1,1,1,1,1
o3_gr_e01,B,1,1,1,1,1,1,0.169,0.197,0.253,0.272,0.179,0.037,0.057,0.096,0.097,0.076,0.135,0.151,0.207,0.239,0.179,1,1,1,1,1
o3_gr_e02,B,1,1,1,1,1,1,0.205,0.223,0.229,0.251,0.189,0.036,0.067,0.101,0.117,0.083,0.161,0.156,0.228,0.253,0.184,1,1,1,1,1
o3_gr_e03,B,1,1,1,1,1,1,0.141,0.179,0.25,0.211,0.252,0.039,0.058,0.099,0.086,0.093,0.166,0.183,0.204,0.179,0.216,1,1,1,1,1
o3_gr_e04,C,2,0.24,0.623,1,1,1,0.118,0.111,0.232,0.396,1,0.054,0.067,0.114,0.127,0.185,0.489,0.231,0.179,0.15,0.122,1,1,1,1,0.555
o3_gr_e05,B,1,0.444,0.784,1,1,1,0.099,0.132,0.194,0.237,0.176,0.036,0.076,0.099,0.123,0.104,0.177,0.222,0.385,0.376,0.184,1,1,1,1,1
o3_gr_e06,B,1,1,1,0.977,1,1,0.107,0.185,0.179,0.215,0.121,0.042,0.061,0.099,0.119,0.067,0.209,0.219,0.245,0.229,0.163,1,1,1,1,1
o3_gr_e07,C,2,0.814,1,1,1,1,0.084,0.112,0.193,0.228,0.345,0.044,0.043,0.084,0.121,0.125,0.264,0.163,0.205,0.189,0.113,1,1,1,1,0.511
o3_gr_e08,B,1,1,1,1,1,1,0.104,0.158,0.206,0.275,0.195,0.034,0.063,0.096,0.125,0.104,0.154,0.203,0.24,0.234,0.154,1,1,1,1,1
o3_gr_e09,C,2,0.496,0.549,0.605,0.675,1,0.09,0.077,0.155,0.233,0.408,0.165,0.033,0.086,0.166,0.204,0.303,0.141,0.23,0.198,0.143,1,1,1,1,0.487
o3_gr_e10,B,1,1,1,1,1,0.715,0.301,0.262,0.204,0.211,0.126,0.047,0.064,0.089,0.101,0.088,0.181,0.188,0.184,0.236,0.175,1,1,1,1,1
o3_gr_e11,B,1,1,1,1,0.942,1,0.186,0.205,0.19,0.182,0.137,0.037,0.074,0.102,0.096,0.075,0.125,0.195,0.222,0.209,0.171,1,1,1,1,0.927
o3_gr_e12,B,1,1,1,1,1,0.966,0.265,0.242,0.22,0.201,0.092,0.045,0.06,0.097,0.081,0.07,0.17,0.209,0.21,0.166,0.167,1,1,1,1,1
o4_gr_e01,A,0,0.098,0.122,0.206,0.196,0.385,0.05,0.062,0.098,0.157,0.258,0.033,0.055,0.116,0.175,0.405,0.054,0.079,0.124,0.221,0.432,0.067,0.121,0.166,0.221,0.494
o4_gr_e02,A,0,0.102,0.106,0.184,0.159,0.474,0.039,0.06,0.137,0.126,0.281,0.022,0.07,0.124,0.164,0.88,0.036,0.078,0.139,0.178,0.733,0.056,0.113,0.186,0.201,1
o4_gr_e03,A,0,0.073,0.141,0.168,0.261,0.521,0.026,0.067,0.126,0.163,0.37,0.019,0.059,0.114,0.156,0.607,0.029,0.062,0.12,0.155,0.387,0.041,0.092,0.159,0.223,0.534
o4_gr_e04,A,0,0.12,0.125,0.17,0.167,0.178,0.077,0.082,0.072,0.118,0.082,0.038,0.066,0.08,0.119,0.114,0.076,0.096,0.121,0.207,0.266,0.169,0.2,0.315,0.569,1
o4_gr_e05,A,0,0.126,0.16,0.152,0.171,0.198,0.061,0.073,0.08,0.098,0.115,0.032,0.068,0.086,0.109,0.161,0.065,0.091,0.133,0.163,0.292,0.158,0.166,0.301,0.398,1
o4_gr_e06,A,0,0.148,0.126,0.135,0.179,0.195,0.075,0.064,0.092,0.127,0.109,0.038,0.064,0.094,0.146,0.156,0.077,0.092,0.14,0.206,0.421,0.15,0.186,0.358,0.504,1
o4_gr_e07,A,0,0.025,0.06,0.149,0.259,0.183,0.057,0.04,0.076,0.124,0.11,0.043,0.06,0.099,0.16,0.184,0.073,0.082,0.135,0.203,0.301,0.117,0.197,0.246,0.297,0.665
o4_gr_e08,A,0,0.055,0.127,0.152,0.202,0.265,0.033,0.062,0.104,0.156,0.203,0.026,0.061,0.118,0.181,0.299,0.061,0.082,0.128,0.18,0.246,0.143,0.166,0.223,0.263,0.434
o4_gr_e09,A,0,0.028,0.082,0.122,0.169,0.215,0.028,0.048,0.083,0.134,0.179,0.043,0.063,0.114,0.185,0.285,0.065,0.087,0.148,0.185,0.423,0.099,0.174,0.241,0.29,1
o4_gr_e10,A,0,0.111,0.133,0.256,0.491,1,0.064,0.067,0.132,0.195,1,0.035,0.057,0.096,0.152,0.321,0.114,0.069,0.098,0.132,0.149,0.25,0.088,0.152,0.164,0.234
o4_gr_e11,A,0,0.221,0.082,0.197,0.404,1,0.086,0.059,0.106,0.186,1,0.03,0.066,0.109,0.174,0.41,0.092,0.078,0.123,0.172,0.324,0.182,0.15,0.22,0.174,0.294
o4_gr_e12,A,0,0.124,0.126,0.229,0.507,1,0.062,0.067,0.137,0.209,1,0.031,0.064,0.104,0.165,0.401,0.124,0.065,0.075,0.165,0.144,0.257,0.09,0.142,0.305,0.199
o5_gr_e01,B,1,1,1,1,1,1,0.148,0.194,0.24,0.242,0.21,0.046,0.052,0.095,0.141,0.12,0.128,0.154,0.169,0.232,0.186,1,1,1,0.785,0.912
o5_gr_e02,B,1,1,1,1,1,1,0.139,0.21,0.288,0.221,0.231,0.045,0.073,0.115,0.125,0.143,0.117,0.16,0.198,0.178,0.218,1,1,1,0.671,0.613
o5_gr_e03,B,1,1,1,1,1,1,0.125,0.184,0.272,0.296,0.175,0.036,0.06,0.105,0.139,0.117,0.168,0.161,0.213,0.22,0.196,1,1,1,1,1
o5_gr_e04,B,1,0.505,1,1,1,1,0.127,0.131,0.214,0.435,0.672,0.047,0.053,0.099,0.147,0.139,0.128,0.126,0.198,0.377,0.288,0.491,0.644,1,1,1
o5_gr_e05,B,1,0.242,0.723,1,1,1,0.084,0.134,0.182,0.335,0.562,0.036,0.069,0.102,0.151,0.139,0.111,0.158,0.382,0.494,0.287,1,1,1,1,1
o5_gr_e06,B,1,0.33,1,1,1,1,0.11,0.13,0.204,0.4,0.632,0.038,0.068,0.101,0.163,0.127,0.118,0.169,0.23,0.373,0.214,1,1,1,1,1
o5_gr_e07,X,3,1,0.288,0.285,0.443,0.299,1,0.084,0.141,0.17,0.098,0.05,0.051,0.111,0.18,0.232,0.167,0.101,0.803,1,1,0.143,1,1,1,1
o5_gr_e08,B,1,1,1,1,0.887,0.761,0.122,0.153,0.211,0.253,0.24,0.04,0.072,0.115,0.164,0.133,0.12,0.17,0.201,0.207,0.159,1,1,1,1,1
o5_gr_e09,B,1,0.548,0.865,0.705,0.867,0.774,0.156,0.124,0.176,0.258,0.268,0.057,0.069,0.116,0.181,0.172,0.151,0.127,0.177,0.217,0.284,0.513,1,1,1,1
o5_gr_e10,B,1,0.397,0.704,1,1,1,0.129,0.113,0.199,0.346,0.285,0.044,0.053,0.108,0.143,0.137,0.115,0.113,0.173,0.202,0.313,0.234,0.512,1,1,1
o5_gr_e11,B,1,0.473,1,1,1,1,0.112,0.136,0.234,0.372,0.543,0.043,0.071,0.113,0.158,0.144,0.119,0.136,0.162,0.209,0.252,0.189,0.318,0.804,1,1
o5_gr_e12,C,2,1,1,1,1,0.669,0.332,0.229,0.223,0.223,0.17,0.045,0.075,0.107,0.148,0.197,0.085,0.106,0.167,0.302,1,0.144,0.311,1,1,1
