File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o1-01_gr_e01,B,1,0.013570008517481172,0.05137086348784724,1,0.001232302305168685,0.0021260876674687825,0.002353369764936579,0.034743123446153844,1,1
o1-01_gr_e02,B,1,0.01629333934747475,0.6342539294000001,1,0.0014688981935131189,0.002443162915584601,0.003095569305646091,0.01239528771477551,1,1
o1-01_gr_e03,B,1,0.010631932455978262,0.26123312581600006,1,0.0013860947733088467,0.002530731851187304,0.0031192905431043825,0.0767112444041667,1,1
o1-04_gr_e04,B,1,0.004173923663528381,0.004860233270022545,0.006115748279634201,0.0009256823464017173,0.001035050954506666,0.001204466315139162,0.0039748431761652886,0.004289641251386832,0.006285022080449826
o1-04_gr_e05,B,1,0.006241298005370884,0.00561154321031579,0.008160983663183593,0.00085890243305307,0.0010606114266959383,0.0012366489655620538,0.005435028669382714,0.005359936374411302,0.009296870200086807
o1-04_gr_e06,B,1,0.005089555106526317,0.004573101895312501,0.0051547053646048575,0.0009916181771230854,0.0009405889226701504,0.0010565753413161105,0.003964733872023757,0.0038247369425460755,0.006881722775905327
o1_gr_e01,A,0,0.000364879839183016,0.0010435562785406497,0.0049355977959183684,0.0003947552730000006,0.001179285128395062,0.004613280410204083,0.0007672750533456788,0.0012209803845804992,0.0034014984366593937
o1_gr_e02,A,0,0.0004156541277882788,0.0007539412032140241,0.0036988329457190053,0.0003718375604999994,0.0009002839948576668,0.0030284506049586776,0.0009685539765943457,0.001203638986189468,0.0027502867047091424
o1_gr_e03,A,0,0.0006287072318181812,0.0010354866467218932,0.0030770140489795915,0.00036291122268867116,0.0008345312963331822,0.002094885890130796,0.0007295278792686973,0.0008606539971501021,0.0014267645183673463
o1_gr_e04,A,0,0.0005276325494276803,0.000916624496398893,0.0026693794775086523,0.0003022163237399569,0.0006641390952533034,0.0019309964486992717,0.0005879726125000006,0.000914185946058935,0.0012984903893333343
o1_gr_e05,A,0,0.0005056968370986911,0.0007994617134545447,0.0026757396986380392,0.0003385352894693865,0.0006490760404782026,0.0019416361700415879,0.0008167265190311409,0.000718070053979238,0.0016446714330415502
o1_gr_e06,A,0,0.0006706916553599996,0.0009264011297588965,0.0024124923155767874,0.0003140922508572338,0.0006527507541322311,0.001913466407889546,0.0006655645301652883,0.0007203996564629524,0.0011739137471065435
o1_gr_e07,A,0,0.00046168918005540086,0.0012944527982746783,0.0030035148704999994,0.0006210319966973158,0.0013275802611950815,0.0041565663879017,0.000691288345221056,0.0014178632501878712,0.006955276491493382
o1_gr_e08,A,0,0.0004934216217599998,0.0007510537062399999,0.0014771384825484762,0.00035308412249527384,0.0008501386565597663,0.002153113024965706,0.0006891363679012347,0.0011136618002640715,0.002843902354147204
o1_gr_e09,A,0,0.0005530825215419493,0.0007669132131487882,0.001233327741015089,0.0003538389277777772,0.0007772257577854665,0.0018527404425619832,0.0006106892415407456,0.001086869638860482,0.003069520267499999
