,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,0.0,100.0,0.0,92.85714285714286,100.0,100.0,100.0,100.0,96.42857142857143
Success_B,73.33333333333333,15.555555555555555,57.77777777777777,40.0,0.0,57.77777777777777,0.0,62.22222222222222,55.55555555555556
Success_C,45.45454545454545,36.36363636363637,27.27272727272727,0.0,27.27272727272727,27.27272727272727,63.63636363636363,0.0,27.27272727272727
Success_D,33.33333333333333,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0
TOTAL,44.44444444444444,50.0,38.88888888888889,55.55555555555556,34.44444444444444,70.0,38.88888888888889,62.22222222222222,67.77777777777779
