,2x2,3x3,4x4,5x5
Success_A,100.0,96.42857142857143,42.857142857142854,53.57142857142857
Success_B,15.555555555555555,71.1111111111111,11.111111111111109,75.55555555555556
Success_C,0.0,0.0,0.0,0.0
Success_D,0.0,50.0,0.0,0.0
TOTAL,38.888888888888886,68.8888888888889,18.88888888888889,54.444444444444436
