File,Class_GT,M1,M2,M3,M4,Class_GT_n
o1_gr_can,Z,0.009,0.011,0.007,0.01,0
o1_gr_e01,A,0.009,0.044,0.012,0.039,1
o1_gr_e02,A,0.006,0.031,0.014,0.032,1
o1_gr_e03,B,0.01,0.031,0.01,0.02,2
o1_gr_e04,B,0.009,0.027,0.01,0.019,2
o1_gr_e05,B,0.008,0.027,0.012,0.021,2
o1_gr_e06,B,0.01,0.028,0.01,0.019,2
o1_gr_e07,C,0.011,0.038,0.014,0.054,3
o1_gr_e08,C,0.008,0.021,0.012,0.033,3
o1_gr_e09,C,0.008,0.019,0.011,0.031,3
o1_gr_e10,A,0.012,0.039,0.011,0.037,1
o1_gr_e11,A,0.011,0.044,0.013,0.058,1
o1_gr_e12,B,0.008,0.038,0.011,0.031,2
o2_gr_can,Z,0.006,0.004,0.005,0.005,0
o2_gr_e01,E,0.024,0.073,0.068,0.037,5
o2_gr_e02,E,0.019,0.042,0.057,0.056,5
o2_gr_e03,E,0.023,0.067,0.082,0.048,5
o2_gr_e04,D,0.042,0.064,0.05,0.094,4
o2_gr_e05,D,0.042,0.091,0.035,0.162,4
o2_gr_e06,D,0.04,0.066,0.035,0.242,4
o2_gr_e07,D,0.049,0.041,0.074,0.067,4
o2_gr_e08,D,0.04,0.037,0.086,0.054,4
o2_gr_e09,D,0.036,0.043,0.082,0.06,4
o2_gr_e10,D,0.021,0.062,0.063,0.091,4
o2_gr_e11,D,0.024,0.076,0.048,0.089,4
o2_gr_e12,D,0.032,0.104,0.092,0.063,4
o3_gr_can,Z,0.011,0.013,0.009,0.01,0
o3_gr_e01,D,0.04,0.047,0.036,0.043,4
o3_gr_e02,D,0.042,0.046,0.039,0.045,4
o3_gr_e03,D,0.035,0.049,0.04,0.043,4
o3_gr_e04,E,0.028,0.082,0.051,0.037,5
o3_gr_e05,D,0.026,0.048,0.044,0.053,4
o3_gr_e06,D,0.029,0.034,0.042,0.048,4
o3_gr_e07,E,0.028,0.052,0.043,0.034,5
o3_gr_e08,D,0.031,0.047,0.041,0.048,4
o3_gr_e09,E,0.026,0.053,0.05,0.041,5
o3_gr_e10,D,0.045,0.036,0.04,0.043,4
o3_gr_e11,D,0.039,0.036,0.036,0.042,4
o3_gr_e12,D,0.043,0.032,0.039,0.04,4
o4_gr_can,Z,0.008,0.015,0.011,0.016,0
o4_gr_e01,A,0.013,0.032,0.014,0.041,1
o4_gr_e02,A,0.011,0.034,0.013,0.046,1
o4_gr_e03,A,0.012,0.039,0.011,0.038,1
o4_gr_e04,C,0.013,0.021,0.021,0.04,3
o4_gr_e05,C,0.013,0.022,0.019,0.038,3
o4_gr_e06,C,0.014,0.024,0.021,0.049,3
o4_gr_e07,A,0.01,0.024,0.02,0.041,1
o4_gr_e08,A,0.011,0.03,0.016,0.037,1
o4_gr_e09,A,0.01,0.027,0.018,0.046,1
o4_gr_e10,B,0.017,0.055,0.016,0.025,2
o4_gr_e11,B,0.015,0.05,0.018,0.035,2
o4_gr_e12,B,0.016,0.057,0.015,0.028,2
o5_gr_can,Z,0.007,0.006,0.01,0.009,0
o5_gr_e01,D,0.039,0.05,0.035,0.043,4
o5_gr_e02,D,0.041,0.056,0.035,0.045,4
o5_gr_e03,D,0.036,0.049,0.04,0.045,4
o5_gr_e04,D,0.033,0.071,0.032,0.062,4
o5_gr_e05,D,0.027,0.066,0.037,0.06,4
o5_gr_e06,D,0.03,0.065,0.037,0.052,4
o5_gr_e07,E,0.033,0.029,0.033,0.25,3
o5_gr_e08,D,0.033,0.048,0.039,0.045,4
o5_gr_e09,D,0.034,0.052,0.036,0.057,4
o5_gr_e10,D,0.03,0.057,0.029,0.052,4
o5_gr_e11,D,0.033,0.067,0.028,0.05,4
o5_gr_e12,E,0.055,0.049,0.023,0.072,4
