o1_gr_syn_can,57,49,56,49,56,49,56,49,56,49,56,49,56,49,56,49
o1_gr_can,25,27,28,27,34,28,27,42,25,25,30,37,25,28,27,32
o1_gr_e01,36,46,43,41,42,37,46,50,39,61,66,29,56,60,30,0
o1_gr_e02,38,45,40,40,41,39,45,36,41,41,47,32,41,44,45,32
o1_gr_e03,35,62,63,9,40,49,59,14,36,46,57,17,43,50,45,23
o1_gr_e04,32,43,58,20,44,40,59,26,34,44,50,28,40,53,55,24
o1_gr_e05,32,51,52,17,33,48,61,7,37,51,62,0,40,72,51,0
o1_gr_e06,41,41,43,35,46,37,46,38,36,46,51,31,44,46,51,20
o1_gr_e07,40,58,68,0,43,57,71,0,34,51,74,5,43,45,55,22
o1_gr_e08,35,53,49,9,38,41,45,7,37,46,40,12,42,41,31,11
o1_gr_e09,36,45,42,34,36,40,50,31,30,72,63,5,43,51,19,0
o1_gr_e10,36,39,57,20,42,39,57,19,41,48,55,16,37,47,50,12
o1_gr_e11,36,50,67,0,40,57,61,0,40,56,61,7,40,48,47,17
o1_gr_e12,31,49,64,32,32,41,55,35,34,40,44,32,37,47,46,28
o2_gr_can,30,28,27,26,38,28,27,26,35,30,27,27,26,36,37,23
o2_gr_e01,0,0,1,1,44,51,60,27,18,4,10,5,0,0,0,0
o2_gr_e02,16,0,0,0,42,30,31,18,14,13,14,5,0,0,0,0
o2_gr_e03,30,87,14,0,47,114,0,0,38,119,1,0,14,85,16,0
o2_gr_e05,2,0,0,0,49,38,21,17,6,17,22,25,0,0,0,0
o2_gr_e06,12,0,0,0,46,24,34,21,13,15,12,6,0,0,0,0
o2_gr_e07,53,45,51,29,57,51,55,12,62,44,3,0,27,0,0,0
o2_gr_e09,9,0,0,0,57,29,39,30,10,8,26,21,0,0,0,0
o2_gr_e10,5,0,0,0,45,39,42,22,18,12,12,8,0,0,0,0
o2_gr_e11,61,53,0,0,58,98,0,0,46,65,0,0,11,55,24,0
o2_gr_e24,4,0,0,0,41,40,40,28,26,8,1,0,0,0,0,0
