File,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_can,0.022294835438596516,0.02112251183673472,0.021284715892857162,0.0206770848979592,0.01852111892857145,0.021543396530612262,0.02157137375000002,0.014906586530612255,0.023187398571428593,0.0229842855102041,0.021039150892857163,0.01958482591836736,0.024080398750000027,0.023533996326530637,0.023329776785714313,0.023428695510204104
o1_gr_e01,0.07600385385964914,0.04500301591836736,0.08066493250000002,0.09690210836734696,0.04935168589285716,0.057481263265306136,0.07285318750000001,0.09663112420000003,0.05878521857142859,0.04713378262295085,0.08448130515151515,0.1266692173469388,0.03838396910714288,0.09193098816666669,0.13804244410714286,0.14750000000000002
o1_gr_e02,0.06084312894736843,0.04691661122448981,0.07191713339285714,0.09086609285714288,0.04232509428571429,0.04558781020408164,0.06815066785714287,0.09644372632653064,0.04472866607142858,0.04654625142857144,0.0740215275,0.10391322346938776,0.04835479535714287,0.05339749142857145,0.08273016642857144,0.10675549183673472
o1_gr_e03,0.07626869385964913,0.06202536112903227,0.10680207047619052,0.15339108938775511,0.055917075535714296,0.039412002448979605,0.09642487322033896,0.15023996,0.0712582480357143,0.049466276122449,0.09043718947368423,0.1458391042857143,0.06415824035714286,0.06159852640000001,0.10102845625000001,0.13821412428571428
o1_gr_e04,0.07557265333333336,0.04553653530612248,0.08211794034482757,0.13406197632653064,0.042336263035714305,0.05119865204081634,0.08030265644067798,0.12993076224489797,0.06360882375000002,0.04695280959183676,0.08431783892857146,0.12427338938775512,0.049910979464285736,0.046511418301886806,0.09577276642857145,0.13035915755102043
o1_gr_e05,0.07834549894736843,0.04019580784313727,0.09063510875000003,0.1401445455102041,0.07136622357142859,0.034371626122449,0.08213173344262295,0.14769460081632657,0.06441368482142859,0.043340401176470596,0.09447673258064515,0.15300001000000002,0.06008511714285717,0.07011504625000001,0.12357029142857147,0.15300001000000002
o1_gr_e06,0.05186111666666668,0.049497116326530616,0.07600137339285716,0.10628758734693877,0.036941161071428585,0.0549056624489796,0.07349013696428575,0.10748932591836738,0.060071234642857144,0.04351276551020409,0.07612621482142859,0.11884272102040813,0.04937954357142858,0.056646822448979596,0.09122097232142859,0.1277062287755102
o1_gr_e07,0.07855530157894741,0.055740778965517254,0.1406790044117647,0.18106665000000008,0.05515598160714288,0.050333989122807045,0.1316195643661972,0.18106665000000008,0.08855646607142861,0.048298573921568645,0.11012855054054058,0.1777050695918368,0.08088238803571432,0.06752245081632652,0.09107697160714286,0.15663057816326534
o1_gr_e08,0.044567037719298236,0.038478836981132095,0.07192908285714286,0.0947919444897959,0.03999671142857143,0.039195830204081634,0.06625778053571428,0.09504842530612242,0.048100249821428576,0.04382231122448981,0.07609856428571429,0.09355900163265306,0.054226051071428576,0.06308762857142859,0.08586315374999999,0.09490625673469384
o1_gr_e09,0.06553272964912282,0.045015958571428594,0.07693255392857143,0.10026000571428573,0.059609840357142875,0.04882675693877553,0.06909775535714288,0.1079095442857143,0.07431887625000001,0.053552423333333356,0.09460914126984127,0.13679935836734697,0.054977303035714305,0.07715920490196079,0.13768509000000004,0.14025004000000002
