File,Class_GT,M1,M2,M3,M4
o1_gr_can,A,0.025,0.027,0.023,0.025
o1_gr_e01,B,0.051,0.085,0.04,0.082
o1_gr_e02,B,0.036,0.069,0.039,0.071
o1_gr_e03,B,0.04,0.09,0.045,0.068
o1_gr_e04,B,0.037,0.073,0.042,0.058
o1_gr_e05,B,0.044,0.076,0.046,0.062
o1_gr_e06,B,0.039,0.083,0.051,0.064
o1_gr_e07,B,0.056,0.085,0.046,0.099
o1_gr_e08,B,0.057,0.062,0.034,0.079
o1_gr_e09,B,0.052,0.06,0.031,0.078
o1_gr_e10,B,0.052,0.083,0.053,0.083
o1_gr_e11,B,0.043,0.116,0.036,0.131
o1_gr_e12,B,0.04,0.092,0.041,0.081
o2_gr_can,A,0.022,0.021,0.021,0.02
o2_gr_e01,D,0.078,0.182,0.129,0.112
o2_gr_e02,D,0.085,0.117,0.112,0.123
o2_gr_e03,D,0.084,0.145,0.125,0.119
o2_gr_e04,C,0.127,0.134,0.119,0.123
o2_gr_e05,C,0.141,0.147,0.089,0.142
o2_gr_e06,C,0.135,0.137,0.088,0.137
o2_gr_e07,C,0.14,0.115,0.121,0.125
o2_gr_e08,C,0.125,0.104,0.112,0.11
o2_gr_e09,C,0.135,0.115,0.118,0.119
o2_gr_e10,C,0.071,0.15,0.143,0.135
o2_gr_e11,C,0.081,0.16,0.146,0.141
o2_gr_e12,C,0.097,0.15,0.133,0.117
