File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,Class_GT_n
o4_gr_e09,A,0.017,0.053,0.078,0.122,0.026,0.047,0.094,0.124,0.037,0.063,0.114,0.2,0.064,0.116,0.167,0.34,1
o4_gr_e10,B,0.056,0.09,0.193,1,0.032,0.055,0.1,0.295,0.045,0.054,0.077,0.126,0.094,0.064,0.084,0.114,2
o4_gr_e11,B,0.081,0.057,0.166,0.606,0.032,0.055,0.105,0.287,0.042,0.055,0.105,0.225,0.096,0.089,0.118,0.163,2
o4_gr_e12,B,0.061,0.085,0.186,1,0.037,0.053,0.12,0.252,0.035,0.052,0.089,0.13,0.097,0.058,0.104,0.108,2
o5_gr_can,Z,0.017,0.029,0.041,0.014,0.027,0.047,0.052,0.021,0.029,0.056,0.047,0.03,0.041,0.044,0.044,0.033,0
o5_gr_e01,D,1,1,1,0.78,0.068,0.093,0.117,0.102,0.062,0.079,0.1,0.095,0.795,0.814,0.492,0.381,4
o5_gr_e02,D,1,1,0.965,0.676,0.066,0.102,0.13,0.12,0.054,0.087,0.104,0.113,0.967,0.502,0.358,0.314,4
o5_gr_e03,D,1,1,1,0.918,0.061,0.088,0.119,0.093,0.056,0.093,0.103,0.093,1,1,0.563,0.476,4
o5_gr_e04,D,0.246,1,1,1,0.059,0.077,0.128,0.164,0.056,0.072,0.128,0.12,0.231,0.416,1,1,4
o5_gr_e05,D,0.138,0.47,1,1,0.048,0.077,0.119,0.16,0.063,0.09,0.126,0.112,0.405,1,1,1,4
o5_gr_e06,D,0.181,0.566,1,1,0.056,0.074,0.112,0.161,0.059,0.092,0.111,0.099,0.573,1,1,1,4
o5_gr_e07,E,1,0.135,0.212,0.162,0.108,0.059,0.078,0.073,0.065,0.079,0.295,1,0.098,1,1,1,3
o5_gr_e08,D,0.373,0.439,0.419,0.4,0.059,0.084,0.122,0.115,0.062,0.091,0.105,0.089,0.768,1,1,0.557,4
o5_gr_e09,D,0.24,0.367,0.403,0.419,0.071,0.081,0.127,0.139,0.069,0.081,0.113,0.129,0.22,0.638,0.82,1,4
o5_gr_e10,D,0.204,0.477,1,1,0.057,0.079,0.112,0.122,0.049,0.077,0.102,0.114,0.138,0.288,0.664,1,4
o5_gr_e11,D,0.232,0.656,1,1,0.06,0.085,0.123,0.15,0.05,0.079,0.103,0.116,0.13,0.214,0.498,1,4
o5_gr_e12,E,1,1,0.592,0.384,0.129,0.101,0.11,0.122,0.042,0.069,0.112,0.222,0.092,0.226,1,1,4
