File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1-01_gr_e01,B,1,1,1,1,1,1,0.016211158744444443,0.028726809709401706,0.0667252074138504,1,1,0.001507335497260774,0.0018134461500556912,0.003120993336615384,0.0037466618467553274,0.004504302576630435,0.02751030090466666,0.18974024045599996,1,0.08759810475,0.02358767238950617,1,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,1,0.015219846498059965,0.06300435285152353,1,0.29799109924999995,0.12086490634399999,0.0015170279279999991,0.002053887467179583,0.00340507535458937,0.004518588148290598,0.005560306173076921,0.008544962262188208,0.021679516729208804,1,1,1,1,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,1,0.006889003809941047,0.0209977936805075,1,1,1,0.0016443968519937646,0.001966355371572024,0.0034355956869565243,0.004657257579822534,0.005197533524152291,0.02314843233061225,0.10626811638765433,0.5376567319500001,1,0.24293788870000008,1,1,1,1,1
o1-04_gr_e04,B,1,0.022482528409763308,0.02216455182426035,0.03322450170679012,0.023948158031520003,0.0864462376897959,0.006516047683570246,0.004837572439734694,0.006662992956859503,0.005870483119742879,0.0085396443274,0.0014468636934210496,0.0014481457751594365,0.002525173472999998,0.0020614294058029286,0.0032107311094060707,0.005418179927003732,0.0043276706906326505,0.005645603459853313,0.0045397380125371915,0.009595284562075293,0.021077229239940824,0.024335930426086956,0.030056109836842093,0.025134159103512396,0.18410093319999996
o1-04_gr_e05,B,1,0.07349364464938273,0.05519575507847223,0.07337531691851853,0.064607900105,1,0.007053802896491232,0.0051671737475084125,0.006783966491050992,0.0051241916016656775,0.012305797391015342,0.0012291600384000015,0.001402212485380118,0.0022927025010625016,0.0018305832523515199,0.003952722432118058,0.005140662202960526,0.004634244974836154,0.006455944752734841,0.0043480825175224915,0.016087522390476193,0.2186618356666667,0.08066372010937499,0.07084581525185187,0.31152128395,1
o1-04_gr_e06,B,1,0.03811605599296875,0.031153223515789474,0.027810219118594104,0.029682811000000007,0.03404529601054687,0.008064794227840654,0.004873104550486015,0.005070423911902007,0.006219649939181288,0.007153176449131945,0.0019945155824380185,0.0012152043248285329,0.0017812562310763895,0.0023122355265913163,0.002159560592441977,0.0068642411662224075,0.004102914661061225,0.004069048309513982,0.005340362860090704,0.00750811014072472,0.02853107353157894,0.02138628831035503,0.0230638734288,0.034693758128027684,0.6315796687999998
o1_gr_e01,A,0,0.000770562100000002,0.0010412480236686407,0.0024248658035310104,0.005896315882747432,0.05136059120000001,0.0018145270125000028,0.0013990399488000016,0.003238132487534628,0.007557502134375,0.04270696515918367,0.0006447136320000014,0.0013841928281250015,0.0030988382940000015,0.0053948535692806944,0.03218960213333333,0.0014839675593750015,0.0018683975777777791,0.0034619456243767314,0.0059999012441197975,0.02534619665454546,0.0018698206165289263,0.0021804238716049396,0.00324288654336,0.004591114386600271,0.014427003822222225
o1_gr_e02,A,0,0.0015498731977315668,0.0005530724444444425,0.0018714981551020396,0.004298486579591836,0.025781072711111106,0.0015914640239999972,0.0011824643519999965,0.0022577973259515546,0.005831555226634956,0.022399119935999984,0.0005842844096885795,0.0012644061439999984,0.002302047164542935,0.004669039777777778,0.012675138577777778,0.0015915811319211091,0.0019291159013877532,0.0030862977134948092,0.005113167546020761,0.013241460506574388,0.002782909537996219,0.002643229506644627,0.0034907741582222217,0.004386601469387752,0.008179418828571428
o1_gr_e03,A,0,0.0021259458131113406,0.0019329126228373687,0.002267114289342403,0.00459593635739645,0.014893231020408158,0.0014270293469387735,0.001865680550472587,0.002693896280816325,0.005207961022222222,0.014108224608996536,0.0005767373119113558,0.001428060349999998,0.002094001872979591,0.0039991906360847315,0.007165161691319855,0.0014938972593749986,0.0014699290408163247,0.002002814335067636,0.0033569987892244878,0.0055368311971462515,0.002327072835986158,0.002302956755555555,0.001915230700270416,0.0028022183252595146,0.004523061135802467
o1_gr_e04,A,0,0.0012733918106647207,0.0019034766448753479,0.0021726949251691004,0.0033940114823529433,0.029966106122448988,0.0012864024000000028,0.001675824753719011,0.0022614048000000023,0.004327404300000001,0.013071702488888889,0.0005058748917551033,0.0014184920880000033,0.001339900110367348,0.002825567143367045,0.007494452604042808,0.001140012840960002,0.0015058003358024712,0.0014290756312500018,0.002429812904142014,0.0068374402934911266,0.0013708002056975908,0.0022864371962016076,0.0024927590077428795,0.002280548562880888,0.004950649432653063
o1_gr_e05,A,0,0.0014191206611570226,0.001437736805999998,0.0022379985462412095,0.003780813257999998,0.014997428052071002,0.0013281079168241934,0.0013718804325141747,0.0020481771374999975,0.0048266246659729424,0.007498432227218933,0.0005202705315296535,0.0011215354982399965,0.0016527304357960432,0.0030698965041322307,0.006497003444616298,0.0014855069355371878,0.0014686850879999968,0.001394488991999997,0.0024843037233137147,0.008697568862434965,0.0024469965179999987,0.002396459281632651,0.0024221818462040793,0.0019662282262390652,0.006498062300159997
