,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,100.0,100.0,100.0,92.85714285714286,100.0,100.0,100.0,100.0,0.0
Success_B,20.0,20.0,26.666666666666668,44.44444444444444,60.0,26.666666666666668,26.666666666666668,26.666666666666668,62.22222222222222
Success_C,0.0,36.36363636363637,0.0,0.0,0.0,54.54545454545454,72.72727272727273,72.72727272727273,0.0
Success_D,33.33333333333333,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0
TOTAL,43.333333333333336,52.22222222222223,51.11111111111111,57.77777777777777,61.111111111111114,57.77777777777777,60.0,60.0,37.77777777777778
