,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,100.0,100.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0
Success_B,13.333333333333334,11.11111111111111,33.33333333333333,37.77777777777778,62.22222222222222,82.22222222222221,88.88888888888889,55.55555555555556,55.55555555555556
Success_C,36.36363636363637,36.36363636363637,36.36363636363637,45.45454545454545,63.63636363636363,27.27272727272727,63.63636363636363,27.27272727272727,27.27272727272727
Success_D,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TOTAL,45.55555555555556,47.77777777777778,58.88888888888889,61.111111111111114,76.66666666666667,82.22222222222221,90.0,68.88888888888889,68.88888888888889
