Object in pile, Object name, Predicted Class SHORT, Predicted Class LONG, Grasped edge, Sensed deformation, Placing Quality
0,twlrag,A,A,short,A,89
1,waffle,B,C,short,B,99
2,check,B,C,short,B,27
