check_12l_long_me,-0.7444449166666668,-0.7449912083333335,-0.7186460833333335,-0.6894868333333337,-0.6647275138888891,-0.6441652500000001,-0.6088763055555557,-0.5874834000000003,-0.5768696500000002,-0.5618163750000001,-0.6894535333333334,-0.6956554833333335,-0.6794444722222225,-0.6552466041666669,-0.6058036333333335,-0.5816734000000001,-0.5780847708333336,-0.5615838333333335,-0.5486382500000002,-0.5209946785714289,-0.6422584722222225,-0.6477359305555557,-0.6363354791666669,-0.610267541666667,-0.5571009761904764,-0.5326571000000002,-0.5263676333333336,-0.5253505666666668,-0.5160975694444447,-0.49407561666666683,-0.6126055416666667,-0.6141901388888891,-0.5850867916666669,-0.5606890000000002,-0.4974303958333336,-0.47361211111111123,-0.4765122361111113,-0.48444954166666687,-0.4827382708333336,-0.4698362261904764,-0.5809937916666669,-0.583065116666667,-0.5674550555555558,-0.5035634333333335,-0.44838115000000023,-0.41012750000000026,-0.41736770833333353,-0.44072944444444473,-0.447021027777778,-0.4311352500000001,-0.5586211944444446,-0.5550645833333335,-0.5096664027777781,-0.45338875000000023,-0.4111833333333337,-0.37498147222222245,-0.39305375000000026,-0.4049491805555558,-0.4075866500000002,-0.4115847407407409,-0.5202554791666669,-0.511290777777778,-0.4458462833333336,-0.3903822500000002,-0.3413151785714288,-0.3308059791666669,-0.3357582916666669,-0.34106498333333357,-0.35578540000000014,-0.38228581481481494,-0.46655922916666687,-0.4533920833333336,-0.39311709523809535,-0.3325898690476193,-0.28085048333333357,-0.261871154761905,-0.27465066666666704,-0.2860849861111113,-0.30537258333333345,-0.3198191060606062,-0.41156596666666695,-0.4100147380952383,-0.36740861111111134,-0.31161800000000023,-0.25203700000000023,-0.23263156666666684,-0.25081205555555564,-0.2691669583333336,-0.2707659583333334,-0.2672235333333336,-1,-0.48552005833333356,-0.4087378888888891,-0.3229828888888891,-0.0925326458333335,-0.07129313194444459,-1,-0.32708354166666687,-1,-0.4583335833333336
check_12l_long_se,-1,-1,-0.7055560000000003,-0.6578130952380954,-0.5993037291666669,-0.6357284537037039,-0.7164912083333336,-1,-1,-1,-0.9226192500000003,-0.8630924791666668,-0.7304280333333335,-0.5998937166666669,-0.5478112500000001,-0.5670835833333335,-0.716806527777778,-0.9598502812500003,-1.1000001666666668,-1,-0.9388357500000003,-0.8644598854166669,-0.7262925595238097,-0.5890273750000002,-0.5011822604166669,-0.5155338333333337,-0.6690756145833335,-0.8930142666666668,-1.1123151250000003,-1,-0.9206992500000002,-0.8588455208333335,-0.7215441458333336,-0.5770376666666668,-0.4808279583333335,-0.47878493750000023,-0.6226203472222225,-0.8840639000000002,-1.089963016666667,-1,-0.9259260000000001,-0.8471170000000002,-0.7136625208333336,-0.5473263472222224,-0.42990789583333355,-0.4445373000000003,-0.6021076666666669,-0.8832276527777778,-1.1002093541666669,-1,-0.8856047916666667,-0.8239197500000002,-0.7069349583333335,-0.557779263888889,-0.4158806250000001,-0.40769060000000024,-0.5595478,-0.8645199285714288,-1.0545348020833336,-1,-0.870416791666667,-0.8015676875000002,-0.665809928571429,-0.5215854791666669,-0.39389228333333354,-0.373873866666667,-0.5505863571428574,-0.8010339270833335,-0.9971369523809526,-1,-0.8416443750000002,-0.7764831071428574,-0.6552521333333335,-0.49733021875000016,-0.34118066666666685,-0.3268363095238097,-0.489982064814815,-0.7291266111111112,-0.9288255000000003,-1,-0.8250002500000002,-0.7424645166666669,-0.5967235595238096,-0.4335565500000002,-0.30585447222222245,-0.2749871500000002,-0.45646098611111136,-0.6438793083333336,-0.8538718854166669,-1,-1,-0.7101533712121214,-0.580729892857143,-0.4427154583333335,-0.11334183928571445,-0.1336190937500002,-0.4723473472222225,-0.6254751916666669,-0.7990149615384617,-1
check_12l_short_me,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.85730419,-0.87100772,-0.8552102800000001,-0.8519285600000002,-0.86130146,-0.8568916000000002,-0.8588658200000001,-0.86305126,-0.8488151800000001,-0.84311102,-0.7456800061538462,-0.7382751085714288,-0.7389369200000002,-0.740874805,-0.7501107890909092,-0.754105204,-0.7686820133333334,-0.7552877333333333,-0.7513000750000001,-0.7544277333333335,-0.5670051400000001,-0.5250868300000001,-0.5131555300000001,-0.5242251600000001,-0.5480080492307693,-0.5551898945454546,-0.5556268900000001,-0.5554646900000001,-0.5684268680000001,-0.5138151550000001,-0.3870245360000001,-0.334851596923077,-0.31229514857142865,-0.3215182666666668,-0.3209202200000001,-0.31966676400000005,-0.3320367100000001,-0.3331786650000001,-0.3260301866666668,-0.33985503777777787,-0.1825709800000001,-0.18369407555555567,-0.16366374400000008,-0.16241157600000009,-0.16158103428571433,-0.1472592100000001,-0.1618627000000001,-0.1611701280000001,-0.1611164000000001,-0.1780931850000001,-0.13965553333333336,-0.10867751200000009,-0.10182508000000001,-0.10283343000000006,-0.05598618600000007,-0.038189027692307774,-0.09337566285714297,-0.09277985333333343,-0.08014850000000014,-0.06778295428571435
check_12l_short_se,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9417217800000002,-0.9237586000000002,-0.9204544800000001,-0.9171011300000002,-1,-0.7949650933333333,-0.8393136545454546,-0.8360217280000001,-0.8135146028571429,-0.8137832061538463,-0.7763251200000002,-0.7376676800000002,-0.6955918861538463,-0.6959200347826088,-0.31516938000000005,-0.46019972470588244,-0.4826179413333334,-0.4788197875000001,-0.4813596254545455,-0.44707571578947375,-0.3873957323076924,-0.3879506066666668,-0.3599857381818183,-0.3334675125000001,-0.2190887500000001,-0.1982625933333334,-0.19475267428571438,-0.1968498320000001,-0.19293258222222232,-0.17568386666666677,-0.1735355600000001,-0.17412922400000003,-0.1744186457142858,-0.18922422857142865,-0.09242535428571437,-0.09657567555555563,-0.11449063200000009,-0.12093202000000008,-0.038902786666666765,-0.04445910222222232,-0.08165032727272735,-0.12062411000000006,-0.11721992000000007,-0.12001737600000009
check_16l_long_me,-1,-1,-0.5162396923076923,-1,-1,-1,-1,-1,-1,-1,-0.475641230769231,-0.46612687179487194,-0.4774296730769233,-0.4774432692307693,-0.47408284615384627,-0.4731476153846155,-0.47663628846153877,-0.4537747948717951,-0.4718421153846156,-1,-0.43256141025641043,-0.42287680769230795,-0.44756659615384625,-0.45078375000000015,-0.45081538461538484,-0.44980884615384636,-0.43894713461538476,-0.4281511794871797,-0.43469226923076937,-0.45590176923076947,-0.40432907692307696,-0.3961413076923078,-0.4254366923076923,-0.43730180769230764,-0.4427849615384618,-0.43871738461538484,-0.4245920384615386,-0.4123977307692308,-0.4025424615384617,-0.40327569230769233,-0.3730682153846155,-0.37056769230769243,-0.39508148076923094,-0.40048492307692307,-0.40490876923076935,-0.41087653846153865,-0.394757153846154,-0.3906676730769231,-0.38048166153846175,-0.3746414743589746,-0.343830871794872,-0.33338117948717966,-0.35718492307692323,-0.3556955576923078,-0.35598399999999997,-0.3534901538461539,-0.3447954038461539,-0.3484939230769233,-0.35049102564102586,-0.3472687692307694,-0.3062882115384617,-0.29822469230769244,-0.3080949230769232,-0.305012903846154,-0.30032665384615403,-0.2958932307692309,-0.2979437692307695,-0.3039835384615387,-0.3113567846153847,-0.3272328846153847,-0.25896219230769246,-0.24347505769230782,-0.25813346153846173,-0.2550736153846155,-0.2433644615384617,-0.23100978846153863,-0.24434496153846175,-0.2740773461538463,-0.29352311538461556,-0.3056105384615386,-0.22450663461538478,-0.20040509615384638,-0.20860642307692323,-0.2060830192307695,-0.19117282051282078,-0.1863126153846155,-0.20588919230769254,-0.22416976923076945,-0.24327320000000013,-0.27929905128205135,-0.3153213173076924,-0.2664054725274727,-0.2613419230769232,-0.2502992527472529,-0.09883972161172178,-0.07859959401709414,-0.19349348076923087,-0.1934007076923078,-0.18886470769230787,-0.2172381794871796
check_16l_long_se,-0.4341879230769234,-0.4152609230769232,-0.41538469230769265,-0.42224865384615395,-0.4451926538461539,-0.4666668974358977,-0.4984615384615386,-1,-1,-1,-0.43816446153846156,-0.4183705000000001,-0.41395111538461554,-0.412640826923077,-0.4292833846153848,-0.45824225000000013,-0.4887441730769231,-0.5379363589743591,-0.574590730769231,-0.6095585000000001,-0.4417212307692311,-0.4238838846153847,-0.41590661538461554,-0.39595073076923104,-0.40490253846153856,-0.44730002564102583,-0.47821534615384637,-0.526431903846154,-0.5487330384615386,-0.6103584461538464,-0.4351876923076925,-0.4215180384615386,-0.4049016538461542,-0.3813097230769233,-0.37654412820512845,-0.3963728461538462,-0.45883166153846167,-0.5020459615384618,-0.5328819384615385,-0.5602320512820514,-0.424102230769231,-0.4115325000000002,-0.3847762000000001,-0.3575873846153848,-0.35848853846153855,-0.3733302115384618,-0.41031757692307713,-0.46905317307692324,-0.4933851282051284,-0.5480192153846155,-0.41642415384615405,-0.4058369615384617,-0.3735995384615386,-0.33566320512820513,-0.3298103461538462,-0.3361817692307695,-0.37078863076923096,-0.42624073076923086,-0.45958562820512844,-0.5119993692307694,-0.4150976923076925,-0.40477300000000016,-0.37624366666666675,-0.3275985384615387,-0.3009297115384617,-0.30482871153846175,-0.3478617692307694,-0.38203750769230793,-0.41971946153846174,-0.4561665076923078,-0.410688307692308,-0.40037192307692326,-0.3750641794871797,-0.3214877948717951,-0.29067102564102565,-0.28497961538461564,-0.30598681538461553,-0.338500230769231,-0.38292876923076946,-0.4256238461538464,-0.40639557692307704,-0.3977442115384616,-0.36628253846153863,-0.30346880000000015,-0.2535659615384617,-0.2238883076923079,-0.2730482692307695,-0.31053746153846173,-0.3542393076923078,-0.3865320000000002,-0.41763346153846187,-0.39825255769230794,-0.3496620512820514,-0.29848694871794884,-0.08435495546558723,-0.052419465384615525,-0.2595153461538463,-0.30214713461538467,-0.3475176666666669,-0.3686395384615387
check_16l_short_me,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7370450555555557,-0.7135953111111113,-1,-1,-0.8303704814814816,-0.8215816111111114,-0.7966845416666668,-0.7688392333333335,-0.7563189920634922,-0.6873083174603176,-0.6322483571428573,-0.6296297916666668,-0.8320437222222223,-0.8141841458333334,-0.7752519000000001,-0.7333999222222224,-0.7028432569444446,-0.6297401790123458,-0.6084806944444446,-0.5633868611111112,-0.5201535634920635,-0.4781855972222223,-0.7296971222222224,-0.6420842626262627,-0.6015571944444446,-0.5466401944444446,-0.5235467301587302,-0.47368602777777796,-0.4627776250000002,-0.44013312500000007,-0.40825601388888905,-0.38349795833333356,-0.4472994583333334,-0.44941271666666677,-0.4245101031746033,-0.40248234444444453,-0.3747813819444446,-0.34818991111111125,-0.3432217361111113,-0.34018634722222235,-0.3166756296296298,-0.29213879365079387,-0.3070525462962965,-0.2900954567901236,-0.2792126000000001,-0.2619815416666668,-0.2516710555555557,-0.2471045777777779,-0.24081714814814825,-0.23511063333333343,-0.22943288095238107,-0.19778614102564113,-1,-0.15436312500000007,-0.13779503174603192,-0.16502277777777785,-0.16424623148148165,-0.15900066666666673,-0.1671013055555556,-0.17099566666666682,-0.14658626666666688,-0.140978338888889,-1,-0.09696687500000019,-0.09949172222222247,-0.11075333333333348,-0.09974334074074086,-0.0867819920634922,-0.13545500000000021,-0.13371816666666686,-0.11642435555555565,-0.13805890000000007
check_16l_short_se,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6134618888888891,-1,-1,-1,-1,-1,-0.6800755972222223,-0.6503012592592594,-0.6254078240740742,-0.6077627592592594,-0.572361152777778,-0.5708697777777779,-1,-0.6737815185185186,-0.6855035476190477,-0.6654344444444446,-0.6314275666666669,-0.6097620972222224,-0.577315875,-0.5533558333333335,-0.5094393472222224,-0.49030687777777787,-0.46064833333333355,-0.6161781269841271,-0.5887081388888891,-0.5876461000000002,-0.5606282962962964,-0.5362514722222224,-0.5053601333333335,-0.4653412407407409,-0.4315085185185186,-0.4017946574074076,-0.42118061111111116,-0.4629357083333335,-0.4638451944444446,-0.4622597361111113,-0.46717256666666673,-0.43785221296296306,-0.4008897407407409,-0.3663632037037038,-0.3365849074074075,-0.33659153703703715,-0.35866552777777794,-0.32893215277777793,-0.32987378472222234,-0.33162447222222236,-0.3342460972222223,-0.32896635185185197,-0.3022274907407409,-0.2683867777777779,-0.26596355555555573,-0.2753974722222224,-0.3099261851851854,-0.22784395833333349,-0.24521130555555573,-0.24742166666666687,-0.24069638888888892,-0.23551046296296313,-0.2301176444444446,-0.2183085277777779,-0.21996736111111115,-0.23201935185185202,-0.265509277777778,-0.16213448148148163,-0.1757574166666668,-0.1805678611111112,-0.19961758333333357,-0.18711722222222232,-0.1716817916666668,-0.1791806481481483,-0.19147647222222228,-0.19803027777777799,-0.22377250000000015,-0.10375109259259273,-0.12605212037037042,-0.14117455555555566,-0.16445649444444455,-0.06014860386473443,-0.0592514468599035,-0.16109976666666675,-0.15852144444444458,-0.15441744444444455,-0.17368061111111124
check_4l_long_me,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6012207536842106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.59798362,-1,-1,-1,-1,-1,-1,-1,-1,-0.6583994720000002,-0.6496588222222224,-1,-1,-1,-1,-1,-1,-1,-1,-0.6632073,-0.8700106514285716,-1.0316661900000001,-1,-1,-1,-1,-1,-1,-1.0037958666666669,-0.6651751533333334,-0.7359589433333334,-0.9610070853333335,-1,-1,-1,-1,-1,-1,-0.28590106000000004,-0.47778937333333343,-1.0647468640000002,-0.6851597011764706,-1,-1,-1,-1,-1,-1,-1,-0.3103426857142858,-0.38734537000000013,-0.2975708923076924,-1,-1,-1,-1,-1,-1,-1,-0.1194359142857144,-0.15528534857142867,-0.1374073280000001,-1,-1,-1,-1,-1,-1,-0.17692542400000008,-0.12632565733333342,-0.168460371764706,-0.19232258782608705,-1,-1,-1
check_4l_long_se,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7659002200000002,-0.7536233111111111,-1,-1,-1,-1,-1,-1,-1,-1,-0.729809122857143,-0.6798738500000001,-0.7570266133333333,-1,-1,-1,-1,-1,-1,-1,-0.6187417250000001,-0.5649284550000001,-1,-1,-1,-1,-1,-1,-1,-1,-0.5173922550000001,-0.44160231800000005,-1,-1,-1,-1,-1,-1,-1,-1,-0.41468380000000005,-0.31795092235294126,-1,-1,-1,-1,-1,-1,-1,-1,-0.17131884000000008,-0.2078156933333334,-1,-1,-1,-1,-1,-0.43847182666666673,-0.3013308153846155,-0.19700235000000008,-0.10356241000000008,-0.11867945739130445,-0.23416674074074084,-0.373326048888889,-1,-1
