File,Depth mean
p_me_d_1,0.015885626971429
p_me_d_2,0.029076027563162
p_me_r_1,0.0139566511323
p_me_r_2,0.028264700218304
p_me_v_1,0.033946123578104
p_me_v_2,0.039008392610879
p_se_d_1,0.027737757966507
p_se_d_2,0.034650664408
p_se_r_1,0.019689068031579
p_se_v_1,0.041093002916094
p_se_v_2,0.041377614705883
r_me_d_1,0.01626495045858
r_me_d_2,0.039766688620352
r_me_d_22,0.03729786026393
r_me_r_1,0.015952463359873
r_me_r_2,0.035008713346496
r_me_v_1,0.015362931608877
r_me_v_2,0.046232738752399
r_se_d_1,0.017498298123325
r_se_d_2,0.038512183843813
r_se_r_1,0.016611012785185
r_se_r_2,0.032451060199203
r_se_v_1,0.01580496325228
r_se_v_2,0.050064247311628
t_me_d_1,0.037631329570928
t_me_d_2,0.074441190115607
t_me_r_1,0.038009217606987
t_me_r_2,0.09110938787062
t_me_v_1,0.03712690283688
t_me_v_2,0.076424071420508
t_se_d_1,0.036661686698338
t_se_d_2,0.064449390418888
t_se_d_22,0.078419859450898
t_se_r_1,0.040294674380953
t_se_r_2,0.064578934881657
t_se_v_1,0.041586382601556
t_se_v_2,0.075126226937033
