File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9
o2_gr_can ,Z,0.053,0.057,0.06,0.037,0.052,0.056,0.057,0.057,0.057
o2_gr_e01 ,D,1,1,1,0.255,0.109,0.145,0.829,1,1
o2_gr_e02 ,D,0.693,1,1,0.047,0.198,0.37,1,1,1
o2_gr_e03 ,E,1,0.157,0.892,0.305,0.139,1,0.83,0.162,1
o2_gr_e05 ,D,1,1,1,0.292,0.071,0.374,1,1,0.864
o2_gr_e06 ,D,1,1,1,0.051,0.239,0.353,0.963,1,1
o2_gr_e07 ,F,0.778,0.274,0.311,0.055,0.093,0.153,0.106,0.772,1
o2_gr_e09 ,D,1,1,1,0.21,0.104,0.11,1,1,0.937
o2_gr_e10 ,D,0.622,1,1,0.098,0.068,0.246,0.963,1,1
o2_gr_e11 ,E,0.665,0.248,1,0.056,0.133,1,0.84,0.127,0.827
o2_gr_e24 ,D,1,1,1,0.071,0.097,0.374,0.939,1,1
