File,Class_GT,Class_GT_n,M1,M2,M3,M4
o1_gr_e03,A,0,0.010161063563239635,0.03148286646781915,0.010484285965717778,0.020165193819684724
o1_gr_e04,A,0,0.009028395163486067,0.027138951737998913,0.009690157507584105,0.01917006862578564
o1_gr_e05,A,0,0.0076633132078359235,0.027475175057840726,0.01165264287773931,0.02100470944188466
o1_gr_e06,A,0,0.009835348266139209,0.02800658257288796,0.009721276628146553,0.018670135533073232
o1_gr_e07,A,0,0.011394845637020225,0.0383034390798212,0.01422748511561439,0.053874892473469424
o1_gr_e08,A,0,0.007790279513102959,0.021278967552883003,0.011691836703843052,0.03261818713426772
o1_gr_e09,A,0,0.007709847981092764,0.01940100015262048,0.0111760975757675,0.031461916708560383
o1_gr_e10,A,0,0.012152907246864747,0.03892224254014758,0.010787258001892801,0.03707201438929485
o1_gr_e11,A,0,0.01055785752461915,0.04350789623625908,0.013019849573816291,0.0583030602317342
o1_gr_e12,A,0,0.007999393222393377,0.038011953647103976,0.010634387193077343,0.031069971864197243
o2_gr_e01,C,2,0.024184970841963447,0.07345012764889386,0.06753873108033237,0.03664512072262822
o2_gr_e02,C,2,0.0186788599257885,0.041779604793100195,0.05698406183673472,0.056219006544923324
o2_gr_e03,C,2,0.023411892228950404,0.06726099497952175,0.08190683555405634,0.04758486929014559
o2_gr_e04,B,1,0.042220293995243775,0.06441487147928994,0.04986807746772182,0.093601861328125
o2_gr_e05,B,1,0.04242210119999996,0.09147383922996873,0.035003393606002076,0.16228850147809723
o2_gr_e06,B,1,0.03978116296966955,0.06620581520061729,0.03541068419177106,0.24182914312499995
o2_gr_e07,B,1,0.049210774558623854,0.04148434415229032,0.07376461653333334,0.06667186012790008
o2_gr_e08,B,1,0.03992144981257807,0.036738073457740966,0.08611325936942296,0.053847775993237514
o2_gr_e09,B,1,0.03601068447261197,0.04271140537810884,0.08189284401384084,0.05980397675102036
o2_gr_e10,C,2,0.021466379198282697,0.06220101840045448,0.0634417043158862,0.09081428780640616
o2_gr_e11,C,2,0.023838224100824704,0.07584217198885035,0.04830648961218835,0.08899001618147444
o2_gr_e12,C,2,0.03158718881797667,0.1042111594529086,0.09158385570987655,0.06307226706979088
o3_gr_e01,B,1,0.03981245936639119,0.04672517956868306,0.036107890796201615,0.04267792762241708
o3_gr_e02,B,1,0.04215888354065262,0.04646421027348396,0.03927541462657214,0.04482106148760332
o3_gr_e03,B,1,0.034601714215854104,0.04908558671196259,0.039826375026255,0.04313439871146948
o3_gr_e04,C,2,0.027657428595695123,0.08223304726422677,0.050513051404958674,0.03691194080812853
o3_gr_e05,B,1,0.026478659384712392,0.04775376234567903,0.04429611564625851,0.05343280893580921
o3_gr_e06,B,1,0.028825472481219007,0.034437709762231365,0.0418016778546129,0.04829684257432974
o3_gr_e07,C,2,0.027645857426303853,0.05221365355516512,0.043319585460897626,0.033666859
o3_gr_e08,B,1,0.031382709678953624,0.04715991868014461,0.040888716391131605,0.04767481829728551
o3_gr_e09,C,2,0.025819701119417747,0.052875101788481434,0.05016938775659291,0.0412021936614182
o3_gr_e10,B,1,0.04497003056689344,0.03612677257812503,0.03996294083275625,0.04335222303140648
o3_gr_e11,B,1,0.039043140104650584,0.03602825981413234,0.03589538527284681,0.04227229660770027
o3_gr_e12,B,1,0.042637016602709715,0.031743035683919646,0.03928572149903158,0.03982304590651762
o4_gr_e01,A,0,0.012548483023992751,0.03187870915712798,0.01419870417524005,0.040591646604938254
o4_gr_e02,A,0,0.011222656067716339,0.033803410192820404,0.013049696824196606,0.04571210061224494
o4_gr_e03,A,0,0.011539891200951263,0.038540587491646294,0.010791529992695411,0.037527727230347904
o4_gr_e04,A,0,0.013499292516585024,0.021063346024067613,0.02120982826148574,0.04042039467279609
o4_gr_e05,A,0,0.013332490010123089,0.02244084910986489,0.019217847991157257,0.03842314625678579
o4_gr_e06,A,0,0.013752503355704718,0.023867194230526467,0.020828712023539465,0.048768664957538885
o4_gr_e07,A,0,0.010235125953969132,0.023898073518518536,0.019621710680272127,0.04066071450892246
o4_gr_e08,A,0,0.010948907461223366,0.029808271342351762,0.01634404568052687,0.0367520761777778
o4_gr_e09,A,0,0.010157542449464912,0.02692693876264835,0.018428293584592536,0.04554960449369035
o4_gr_e10,A,0,0.01668346229053738,0.055023946611797006,0.01605866764656003,0.024742658800361597
o4_gr_e11,A,0,0.014668378480749221,0.04951011759225713,0.017954734271760975,0.0354792395111111
o4_gr_e12,A,0,0.01644971735937542,0.05683463139329807,0.014522967253285831,0.027513199767665465
o5_gr_e01,B,1,0.03936398644986448,0.05009300254395387,0.035337678418367324,0.042786058298631774
o5_gr_e02,B,1,0.04086505363200001,0.055835872210244164,0.03461792095124849,0.044510136703440256
