File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1-01_gr_e01,B,1,0.2476389667391304,0.25,0.25,0.25,0.10281210642857141,0.12323504217391307,0.14619486597826084,0.13319995804347826,0.09111743119565217,0.1516316118478261,0.1425546454347826,0.10852560326086956,0.25,0.25,0.25,0.25
o1-01_gr_e02,B,1,0.24600764456521737,0.25,0.25,0.25,0.09497093304347827,0.14602018173913042,0.13986166260869565,0.1311207873913043,0.09118019944444443,0.14900623695652174,0.15450386510869565,0.17479207554347823,0.24799068532608695,0.25,0.25,0.25
o1-01_gr_e03,B,1,0.23919964836956523,0.25,0.25,0.25,0.08843682621794875,0.12881940152173912,0.14795104076086957,0.16473006152173914,0.10041670489130436,0.14532744858695654,0.13482127467391306,0.14563191250000002,0.25,0.25,0.25,0.25
o1-04_gr_e04,B,1,0.14838798272727274,0.16733157636363638,0.1643941942424242,0.19944564590909092,0.05234972246753243,0.05366403150537632,0.059616317272727225,0.06959899819148935,0.04318304938271601,0.04438726559523807,0.048941999890109854,0.052624408589743564,0.13899615606060606,0.1687190921212121,0.1509180874242424,0.2112826921212121
o1-04_gr_e05,B,1,0.19146887833333331,0.1971850628787879,0.1846246172727273,0.23484451303030301,0.05231654449438203,0.06225448978260872,0.06362393174311927,0.07541514255555556,0.05696834644230769,0.056372466521739155,0.05524701048076925,0.06045054916666667,0.20188822181818183,0.20329222333333336,0.19400547575757576,0.24462121106060608
o1-04_gr_e06,B,1,0.18244788848484852,0.15786842863636366,0.17627488696969698,0.17436135666666666,0.06944368621212123,0.052813277289719615,0.056695125604395616,0.05401498806818184,0.06522552045454545,0.04277967,0.04745105765432101,0.050221749684210525,0.16452386575757574,0.13860210696969702,0.16183280757575758,0.21751270287878788
o1_gr_e01,A,0,0.05210070906976746,0.019195088113207567,0.06969592015151517,0.1748425681395349,0.05904350488372094,0.02182458631578948,0.06694853784615387,0.17613163186046513,0.013012034489795937,0.027598160727272735,0.06742224081967213,0.17096466186046513,0.028998908870967757,0.04400761272727274,0.06689758479452058,0.12543460186046512
o1_gr_e02,A,0,0.05063741511627905,0.009426057499999977,0.04839002657142856,0.16961445511627907,0.019522397906976727,0.014594231304347807,0.04491575610169491,0.12722479651162788,0.01453594270833331,0.022998505660377335,0.04977083964912278,0.1292308534883721,0.04150698388888887,0.05015851277777775,0.0592364021212121,0.08039244813953492
o1_gr_e03,A,0,0.021855512444444423,0.03123759791044775,0.06910097999999999,0.11412423232558139,0.01083077659999998,0.016915795434782586,0.04726405983606555,0.08858804441860464,0.012227688571428552,0.02049086325581393,0.03511233327272725,0.06045397319148935,0.0261244867307692,0.0276640418181818,0.030390614444444436,0.04121539187499998
o1_gr_e04,A,0,0.01661109925925927,0.02969378301587303,0.050525136250000026,0.14045646720930235,0.024272729767441877,0.013321065000000019,0.034808725454545476,0.0725099540909091,0.013975472558139553,0.02403384767441863,0.025324607931034505,0.06216271404255322,0.018355154727272744,0.031191863454545464,0.027097861020408186,0.04452088918367349
