File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1-01_gr_e01,B,1,1,1,1,1,0.09179652359693877,0.13270067653979242,0.12758608247041414,0.12105337651169043,0.08748964411064841,0.059381768124999984,0.08442858216387504,0.08893836378911994,1,1,1,1
o1-01_gr_e02,B,1,1,1,1,1,0.08258342003780719,0.13490592318244166,0.10603820118343191,0.1212676351725875,0.056284073731138536,0.13297092656670506,0.1143778713842975,0.17873067520775612,1,1,1,1
o1-01_gr_e03,B,1,1,1,1,1,0.05669027321663382,0.1359311797091413,0.11334616970486118,0.16815632888888893,0.07911796964887922,0.11480501080000005,0.08888895229289949,0.12567070821005924,1,1,1,1
o1-04_gr_e04,B,1,0.23295147241011038,0.28635764669421493,0.27614381258487997,0.46727201913265304,0.06798665255523692,0.05770325968320034,0.06021850229568406,0.07404148743775463,0.05331240664532841,0.052841982851473894,0.05378241746165918,0.06746719049967125,0.21235524958677682,0.2906282022605592,0.23842375079999997,0.6079384155124652
o1-04_gr_e05,B,1,0.39893436489795925,0.4408412255859377,0.357345479289941,1,0.05878263426335059,0.0676679236767486,0.05837057958084337,0.08379460283950618,0.05477725619452662,0.061274420132325175,0.05312212546227812,0.08395909606481483,0.4878345204081633,0.5030571659807958,0.421889843912591,1
o1-04_gr_e06,B,1,0.35000442951059185,0.25694778384006667,0.32111390795529265,0.31217794598337956,0.08958030878796024,0.049358203074504316,0.06230233582900617,0.06138066825929755,0.07791345416666669,0.04235610891089109,0.05858155265965557,0.05286499966759003,0.27542942970521544,0.21198147512755108,0.2684766209829868,0.7286638027681661
o2-01_gr_e01,B,1,1,1,1,1,0.09608075555555567,0.12667168480725635,0.1488637550000001,0.3714553827160495,0.09135285975897924,0.1811556745562132,0.17335899168975077,0.36209459027777796,1,1,1,1
o2-01_gr_e02,B,1,1,1,1,1,0.08472144378698214,0.12330287499999998,0.15218481994459832,0.24233369333333332,0.06355553565760759,0.18835989619377158,0.2534346020408163,0.5702538749999999,1,1,1,1
o2-01_gr_e03,B,1,1,1,1,1,0.05661846527777777,0.1538322222222222,0.28214965277777776,1,0.06799928879999999,0.1932408125,0.1545107256235827,0.24002793749999993,1,1,1,1
o2-04_gr_e04,D,3,0.31649607248520706,0.10686906325259515,0.3311881884,1,0.06996714408163263,0.06821656740014793,0.3886406192536506,1,0.03406434937499998,0.05796144013705994,0.4350456127547666,1,0.17785728858024696,0.0876086240512734,0.6638366753472219,1
o2-04_gr_e05,D,3,0.4094256897506925,0.12050623427891295,0.22989145266206276,1,0.09220899964400137,0.0713699762187871,0.23424481751479279,1,0.035427009467455584,0.059173169064381165,0.20798414024835646,1,0.10823544032921804,0.12068925388888888,0.2606813028846154,1
o2-04_gr_e06,D,3,0.3692216620498614,0.12627484960937502,0.25097209495317374,1,0.08546233025147926,0.07034026070791191,0.21964337391868513,1,0.037602192276878686,0.05941927875268272,0.1723850041522492,1,0.20375153317901223,0.13843420850480112,0.15554985400977672,1
o2-07_gr_e07,B,1,0.448240388429752,0.6459265882352939,0.571020635,1,0.08144921141581633,0.08386726314277507,0.09477866311134234,0.10093488252046988,0.06957615166204983,0.07396425105728566,0.09765192960000002,0.09993308357968288,0.26533533727810643,0.27155765943877547,0.3200483964334705,0.3986859062499999
o2-07_gr_e08,B,1,0.5505981453287198,1,0.6644673702422146,0.5502767100000002,0.06915707605482398,0.09379198822177538,0.1018642324044815,0.08892985717773437,0.08220418680000002,0.09842927555555557,0.09178642508917956,0.0870431042240588,0.5146977685185187,0.4650701020408162,0.460539161157025,0.42628446701388906
o2-07_gr_e09,B,1,1,1,0.723339962962963,0.6759700679012344,0.10900931301652894,0.11818944896449705,0.11867327615933414,0.08138005358316897,0.11141834311224492,0.09329773876543211,0.09987812780348879,0.08477108547008547,0.5744610510204079,0.3908201838842975,0.42557240495867765,0.3349357360285375
o2-10_gr_e10,B,1,0.21366181611570256,0.21023674560000002,0.3022195374149661,0.45862967187500003,0.057181314013840856,0.08734886784599379,0.09772886924762604,0.10108597975308645,0.06237122059897739,0.07960059631821172,0.1195691227887617,0.08610683986686393,0.2289555216,0.2470308930041152,0.30066435360000004,0.51176708
o2-10_gr_e11,A,0,0.027296753086419774,0.05971628628117917,0.12214171223958332,1,0.034899882716049394,0.07738882249817387,0.18302642658875098,1,0.031836547851562536,0.0793104519628099,0.17420906575963724,1,0.062036018888888926,0.10672903344671204,0.21331811496913577,1
o2-10_gr_e12,B,1,0.12867543184183136,0.18717622711058257,0.28511392639999994,0.8885926419753084,0.041990404844290605,0.06643187902695591,0.12142770898437498,0.10706951935719497,0.04449454394531245,0.061732746249999956,0.11532035434007125,0.11166712488521575,0.1173488657648283,0.17756180384087783,0.2707540018903591,0.3867172592592593
o5-01_gr_e01,B,1,1,1,1,1,0.08112406607495068,0.09441251562499996,0.18060517836124942,0.35319385416666665,0.08318810370583168,0.09956863623082543,0.1046963237534626,0.4414931718750001,1,1,1,1
o5-01_gr_e02,B,1,1,1,1,1,0.07683718933333332,0.09302518696472634,0.08697827862643602,0.4261752986111111,0.11991682380013144,0.12485839575195312,0.10124745580715848,0.3341463826530612,1,1,1,1
o5-01_gr_e03,B,1,1,1,1,1,0.08265929215976327,0.10443561094290654,0.09738703468749994,0.3270501122448978,0.07703312536443144,0.0968047057856673,0.10424578906249994,0.3791950199999998,1,1,1,1
o5-04_gr_e04,D,3,0.059055598677686005,0.08644476953530023,1,1,0.03453274469135806,0.10400311195764465,1,1,0.04606456312500004,0.10275282911319228,1,1,0.07426379084287212,0.15778878691184434,1,1
o5-04_gr_e05,D,3,0.030907974000000022,0.08835947530491488,1,1,0.02945751413543725,0.08718100603261382,1,1,0.04579615625000005,0.08607440668402781,1,1,0.09347553388822837,0.11445462607514718,0.8550504387755105,1
o5-04_gr_e06,D,3,0.030199559948979618,0.12142727992308924,1,1,0.030804311875000042,0.10195092360000002,1,1,0.04745821236028933,0.09690797510000003,1,1,0.09463155053507735,0.12494110916403334,1,1
o5-07_gr_e07,B,1,0.28577592970521537,0.31280839909297053,0.36321756250000004,0.867163271604938,0.052559679999999984,0.0932955576171875,0.11392242040816325,0.19694005860113414,0.06256340404040399,0.1025614911242603,0.12180055555555554,0.10786623888888885,0.26440595041322307,0.2485685381944444,0.22786307248520715,0.288177775
o5-07_gr_e08,B,1,0.3907632474999999,0.3220363645833333,0.39113498249999995,0.34647445557655954,0.08615253806228375,0.10070297979797979,0.11431635640138404,0.10410263926446729,0.05472800878906246,0.07564330559999999,0.08587433159722219,0.09290554102259212,0.1454269365079365,0.14465210249307478,0.1640096755555555,0.1455494660493827
o5-07_gr_e09,B,1,0.3165418349999999,0.3545699424999999,0.5043099555555555,0.7043138099173554,0.08002739646201867,0.09326977061224487,0.12164288489795916,0.1383075223765432,0.07815389349112421,0.0982964809027777,0.10738567489711925,0.10529189481373262,0.2749689058171745,0.21976924196597353,0.23576306427221164,0.22981485439999985
o5-10_gr_e10,A,0,0.17078105859374998,0.17504895501730097,0.2422092397959184,0.18440539455782315,0.07109005540166206,0.10057094249999998,0.17750452888888885,0.16556108024691352,0.040328652799999996,0.07066437809917352,0.13564288000000002,0.15977055111111105,0.09160549659863942,0.14614952888888888,0.13244349030470914,0.14128850138504154
o5-10_gr_e11,A,0,0.09577632409972284,0.12976223251417757,0.24850932749999988,0.5502054652777778,0.05361568253968242,0.09742818147448006,0.14653449759999992,0.25735773242630383,0.03310678004535137,0.06242809090909079,0.11734347922437663,0.12210089437585726,0.06649150519031129,0.07293769531249983,0.0628952665406426,0.09986635827664388
o5-10_gr_e12,A,0,0.09364352077562335,0.1434499917355373,0.2583255800000001,0.6969368900000001,0.056228035000000114,0.0939028544000001,0.1456874526748972,0.22102202378121286,0.03424454750000008,0.06478072562358286,0.1175667867036012,0.12624478061224498,0.05991633250000014,0.07304601333333349,0.06273777750000012,0.07455827555555565
