File,Depth mean,Depth Median
pillowc_12l_me,-0.10955001149253733,-0.06697727920454548,-0.08336410800000002,-0.12316426298507466,-0.0568205004761905,-0.07397352288135596,-0.12994647571428575,-0.031981940595238116,-0.07324788413793107
pillowc_12l_se,-0.12597513065789476,-0.07836530533834589,-0.11198918236363638,-0.1172464202777778,-0.057551667938144355,-0.08068437925373137,-0.11434808687500003,-0.033523999538461566,-0.07012452500000002
pillowc_16l_me,-0.06842052759036146,-0.06737929819444446,-0.07374400718309862,-0.04734366717391307,-0.042444434081632676,-0.056346586521739156,-0.040305946315789494,-0.014906898181818206,-0.05001355937500002
pillowc_16l_se,-0.0815163679775281,-0.048094520776699054,-0.07738463031250002,-0.07556105000000003,-0.043306527826086974,-0.07660608704545457,-0.07457152562500002,-0.024716332674418626,-0.07610839620689658
pillowc_2l_me,-0.425,-0.425,-0.425,-0.425,-0.425,-0.22226965814814817,-0.20225618375,-0.07219798679611653,-0.19609097161290326
pillowc_2l_se,-0.425,-0.425,-0.425,-0.425,-0.34532502,-0.425,-0.425,-0.08555491959349595,-0.19044193085470087
pillowc_4l_me,-0.255,-0.18078506015503878,-0.255,-0.255,-0.22695120129353236,-0.255,-0.255,-0.03596001189655175,-0.255
pillowc_4l_se,-0.255,-0.15939373375000002,-0.255,-0.255,-0.10297255857142859,-0.255,-0.255,-0.02977536911290325,-0.255
pillowc_61l_me,-0.165,-0.06397543121212124,-0.165,-0.165,-0.04951985586956524,-0.165,-0.165,-0.02271084473684213,-0.165
pillowc_61l_se,-0.165,-0.06085740470588238,-0.165,-0.165,-0.04932746846153849,-0.165,-0.165,-0.02344830626373629,-0.165
pillowc_62l_me,-0.20500000000000002,-0.13162846341463416,-0.20500000000000002,-0.20500000000000002,-0.08892768936842108,-0.20500000000000002,-0.20500000000000002,-0.028366126080000022,-0.20500000000000002
pillowc_62l_se,-0.20500000000000002,-0.09404282015151517,-0.20500000000000002,-0.20500000000000002,-0.1096607722727273,-0.20500000000000002,-0.20500000000000002,-0.06921865445000003,-0.14843312929824565
pillowc_8l_me,-0.17064949000000001,-0.12165934468354432,-0.20500000000000002,-0.16414280264705883,-0.09753001333333335,-0.20500000000000002,-0.1493582642857143,-0.04006312632258067,-0.20500000000000002
pillowc_8l_se,-0.20500000000000002,-0.12818137388888892,-0.20500000000000002,-0.20500000000000002,-0.07622586268656718,-0.20500000000000002,-0.08878772160714288,-0.029315839752066142,-0.20500000000000002
towel_12l_me,-0.009562861951219534,-0.006336850204081656,0.001880116666666648,-0.0050690206250000236,-0.007448059104477636,0.0013054962745097784,-0.018790273285714306,-0.012236882421875022,-0.00764116654545457
towel_12l_se,-0.009138863965517264,-0.0011795141379310576,0.010582780192307673,-0.013431539342105286,-0.009024115000000022,-0.002536542807017567,-0.029872667058823552,-0.01920718324786327,-0.026454401304347844
towel_2l_me,-0.435,-0.435,-0.435,-0.29287304716216217,-0.24922767744360905,-0.435,-0.435,-0.06346801386206899,-0.12492309940677968
towel_2l_se,-0.435,-0.435,-0.435,-0.34350004,-0.2627504594166667,-0.435,-0.18000003000000003,-0.08489516123867072,-0.14975574726415097
towel_4l_me,-0.17533393722222224,-0.11754230622448981,-0.19899968250000002,-0.2132409582727273,-0.09477422895604398,-0.22428627855072467,-0.21657882228571432,-0.044593082435897456,-0.233687215
towel_4l_se,-0.225,-0.09781241731958765,-0.225,-0.225,-0.06547159261682245,-0.225,-0.13457689929824565,-0.04779525017857145,-0.16906038013513516
towel_61l_me,-0.1111223973493976,-0.05842984965317921,-0.14527283560000004,-0.1198634415294118,-0.04861011750000002,-0.15560875650000003,-0.11789761330188682,-0.032884150392156884,-0.16678124560975613
towel_61l_se,-0.15630135589743593,-0.04932216537974686,-0.1331985290526316,-0.1591539402,-0.04678743234234237,-0.14224788328767127,-0.16012564492957748,-0.04201657364130437,-0.14443221720000002
towel_62l_me,-0.295,-0.295,-0.295,-0.11113915533333335,-0.08985445801282053,-0.09738745479452057,-0.0741516322159091,-0.028315461135135157,-0.06998554291925468
towel_62l_se,-0.295,-0.10787534785714288,-0.1574020166666667,-0.1536051336046512,-0.08593498315000002,-0.12836797987261148,-0.06517771388888892,-0.0314751726630435,-0.06686271083832337
towel_8l_me,-0.06724463639534886,-0.08262378666666668,-0.09023998491803281,-0.04067385678571431,-0.04542949122641512,-0.061813570526315816,-0.03735778159420292,-0.0225325979831933,-0.03594543397590364
towel_8l_se,-0.06957874484848486,-0.09405152660000002,-0.11580225500000002,-0.046617983913043504,-0.05240430944881892,-0.0721817179310345,-0.03539561210526318,-0.019366410303030327,-0.024896226913580267
