o1_gr_syn_can,273,272,272,272
o1_gr_can.pcd,187,176,170,166
o1_gr_e01.pcd,176,184,242,190
o1_gr_e02.pcd,204,157,262,174
o1_gr_e03.pcd,243,191,220,179
o1_gr_e04.pcd,231,174,208,182
o1_gr_e05.pcd,215,206,222,214
o1_gr_e06.pcd,248,238,200,193
o1_gr_e07.pcd,190,206,227,190
o1_gr_e08.pcd,157,175,257,205
o1_gr_e09.pcd,175,174,267,197
o1_gr_e10.pcd,214,205,197,194
o1_gr_e11.pcd,250,176,283,141
o1_gr_e12.pcd,220,178,233,185
o2_gr_can.pcd,176,238,183,221
o2_gr_e01.pcd,346,54,168,160
o2_gr_e02.pcd,246,120,119,134
o2_gr_e03.pcd,310,80,118,173
o2_gr_e04.pcd,84,50,57,82
o2_gr_e05.pcd,69,52,193,53
o2_gr_e06.pcd,62,69,200,23
o2_gr_e07.pcd,91,170,105,128
o2_gr_e08.pcd,80,179,120,138
o2_gr_e09.pcd,72,158,117,139
o2_gr_e10.pcd,324,123,42,101
o2_gr_e11.pcd,301,87,50,102
o2_gr_e12.pcd,226,57,56,106
o3_gr_can.pcd,187,122,146,124
o3_gr_e01.pcd,193,103,203,96
o3_gr_e02.pcd,200,92,196,96
o3_gr_e03.pcd,206,93,192,97
o3_gr_e04.pcd,286,64,156,120
o3_gr_e05.pcd,200,100,168,70
o3_gr_e06.pcd,196,123,190,72
o3_gr_e07.pcd,288,67,197,106
o3_gr_e08.pcd,235,85,216,89
o3_gr_e09.pcd,281,70,204,113
o3_gr_e10.pcd,165,123,202,107
o3_gr_e11.pcd,189,135,189,112
o3_gr_e12.pcd,171,154,200,106
o4_gr_can.pcd,195,119,167,104
o4_gr_e01.pcd,186,96,254,98
o4_gr_e02.pcd,186,112,256,109
o4_gr_e03.pcd,209,119,205,105
o4_gr_e04.pcd,177,150,260,98
o4_gr_e05.pcd,188,131,259,111
o4_gr_e06.pcd,193,156,253,104
o4_gr_e07.pcd,189,137,276,114
o4_gr_e08.pcd,222,122,207,110
o4_gr_e09.pcd,195,137,257,120
o4_gr_e10.pcd,275,83,178,119
o4_gr_e11.pcd,216,95,215,104
o4_gr_e12.pcd,260,83,167,115
o5_gr_can.pcd,162,132,146,113
o5_gr_e01.pcd,215,66,215,65
o5_gr_e02.pcd,206,79,206,81
o5_gr_e03.pcd,198,68,185,65
o5_gr_e04.pcd,246,41,204,41
o5_gr_e05.pcd,252,55,174,34
o5_gr_e06.pcd,258,53,175,49
o5_gr_e07.pcd,167,126,204,3
o5_gr_e08.pcd,224,74,202,72
o5_gr_e09.pcd,216,97,230,63
o5_gr_e10.pcd,235,68,256,40
o5_gr_e11.pcd,250,48,258,49
o5_gr_e12.pcd,215,84,249,23
