,2x2,3x3,4x4,5x5,6x6,7x7,8x8,9x9,10x10
Success_A,0.0,100.0,100.0,96.42857142857143,100.0,100.0,100.0,100.0,100.0
Success_B,80.0,22.22222222222222,33.33333333333333,37.77777777777778,62.22222222222222,82.22222222222221,88.88888888888889,55.55555555555556,55.55555555555556
Success_C,9.090909090909092,36.36363636363637,36.36363636363637,45.45454545454545,63.63636363636363,27.27272727272727,63.63636363636363,27.27272727272727,27.27272727272727
Success_D,33.33333333333333,88.88888888888889,100.0,100.0,94.44444444444444,100.0,100.0,100.0,100.0
TOTAL,42.15686274509804,56.86274509803921,63.725490196078425,65.68627450980392,78.43137254901961,84.31372549019608,91.17647058823529,72.54901960784314,72.54901960784314
