File,Eucl dist,1 norm,inf norm
pillowc_12l_me,0.2656708604538308,0.7490259854871589,0.12994647571428575
pillowc_12l_se,0.2779174530701523,0.7898086972429921,0.12597513065789476
pillowc_16l_me,0.16194304146256913,0.46090492461779714,0.07374400718309862
pillowc_16l_se,0.20090818772653055,0.5778654384445839,0.0815163679775281
pillowc_2l_me,1.018381354524872,2.817814800307168,0.425
pillowc_2l_se,1.1165066693631152,3.171321870448197,0.425
pillowc_4l_me,0.6896616621209551,1.9736962733451229,0.255
pillowc_4l_se,0.6534877831936278,1.822141661434332,0.255
pillowc_61l_me,0.4128084960278559,1.1262061318185286,0.165
pillowc_61l_se,0.41235499987146707,1.1236331794311571,0.165
pillowc_62l_me,0.5274360846833391,1.4789222788630554,0.20500000000000002
pillowc_62l_se,0.5077579669435422,1.4463553761724883,0.20500000000000002
pillowc_8l_me,0.47996369961581614,1.3584030412722314,0.20500000000000002
pillowc_8l_se,0.4910280284494062,1.3475107979346652,0.20500000000000002
towel_12l_me,0.02791441922491946,0.07027072707899917,0.018790273285714306
towel_12l_se,0.049257565395783534,0.12142760705591353,0.029872667058823552
towel_2l_me,1.0552952319171056,2.9054918378746195,0.435
towel_2l_se,1.0029775991736087,2.7609014379194883,0.435
towel_4l_me,0.5407604794668279,1.5190365114478197,0.233687215
towel_4l_se,0.5151024541947777,1.4147165395483623,0.225
towel_61l_me,0.34728648545687324,0.9564704074357886,0.16678124560975613
towel_61l_se,0.3749992250539758,1.03358574193071,0.16012564492957748
towel_62l_me,0.5497119772586557,1.3558337044109734,0.295
towel_62l_se,0.4249760289285755,1.0917010585413278,0.295
towel_8l_me,0.17385712802886247,0.4838611400717934,0.09023998491803281
towel_8l_se,0.19868173405934914,0.5302947870632556,0.11580225500000002
