o1_gr_can_seg,0.264,0.355,0.406,0.332
o1_gr_e01_seg,0.156,0.168,0.036,0.249
o1_gr_e02_seg,0.102,0.153,0.065,0.087
o1_gr_e03_seg,0.032,0.249,0.032,0.147
o1_gr_e04_seg,0.079,0.092,0.21,0.101
o1_gr_e05_seg,0.143,0.193,0.026,0.311
o1_gr_e06_seg,0.02,0.066,0.024,0.078
o1_gr_e07_seg,0.033,0.245,0.157,0.146
o1_gr_e08_seg,0.015,0.332,0.076,0.433
o1_gr_e09_seg,0.023,0.133,0.028,0.395
o1_gr_e10_seg,0.029,0.115,0.069,0.188
o1_gr_e11_seg,0.142,0.234,0.121,0.219
o1_gr_e12_seg,0.088,0.077,0.154,0.109
